Date;Generated;Exported;subGen;mmGen;subExp;mmExp;Cond;Temp med
01/07/2015;14.5;11;2.3;15.65;1;11.5;Cloudy;15.5
02/07/2015;16.8;12;2.3;17.7;3;13.5;Cloudy;13
03/07/2015;18.6;15;1.8;18.4;-2;14;Fine;12.5
04/07/2015;18.2;13;-0.4;17.9;0;13;Cloudy;12.5
05/07/2015;17.6;13;-0.6;18;-1;12.5;Cloudy;13.5
06/07/2015;18.4;12;0.8;18.35;2;13;Fine;14
07/07/2015;18.3;14;-0.1;16.4;-3;12.5;Fine;12.5
08/07/2015;14.5;11;-3.8;13.75;-2;10;Cloudy;14
09/07/2015;13;9;-1.5;11.55;-4;7;Cloudy;14
10/07/2015;10.1;5;-2.9;11.5;3;6.5;Showers;14.5
11/07/2015;12.9;8;2.8;16.55;8;12;Cloudy;16
12/07/2015;20.2;16;7.3;20.3;1;16.5;Fine;14
13/07/2015;20.4;17;0.2;20.05;-1;16.5;Fine;11
14/07/2015;19.7;16;-0.7;15.45;-8;12;Fine;14
15/07/2015;11.2;8;-8.5;10.55;-1;7.5;Cloudy;11.5
16/07/2015;9.9;7;-1.3;15.15;10;12;Cloudy;10.5
17/07/2015;20.4;17;10.5;20.2;-1;16.5;Fine;8.5
18/07/2015;20;16;-0.4;15.9;-8;12;Fine;8.5
19/07/2015;11.8;8;-8.2;13.95;5;10.5;Cloudy;14.5
20/07/2015;16.1;13;4.3;13.7;-6;10;Cloudy;14.5
21/07/2015;11.3;7;-4.8;9.65;-1;6.5;Cloudy;13.5
22/07/2015;8;6;-3.3;8.75;0;6;Showers;16
23/07/2015;9.5;6;1.5;9.9;0;6;Cloudy;19
24/07/2015;10.3;6;0.8;12.65;5;8.5;Cloudy;20.5
25/07/2015;15;11;4.7;12.5;-5;8.5;Cloudy;20
26/07/2015;10;6;-5;12.9;5;8.5;Cloudy;19
27/07/2015;15.8;11;5.8;17.2;4;13;Cloudy;15.5
28/07/2015;18.6;15;2.8;19.4;3;16.5;Cloudy;14.5
29/07/2015;20.2;18;1.6;18.25;-6;15;Cloudy;13
30/07/2015;16.3;12;-3.9;18.55;6;15;Cloudy;15
31/07/2015;20.8;18;4.5;20.3;-2;17;Cloudy;14
01/08/2015;19.8;16;-1;19.75;0;16;Cloudy;16
02/08/2015;19.7;16;-0.1;19.65;-1;15.5;Cloudy;14.5
03/08/2015;19.6;15;-0.1;16.3;-6;12;Cloudy;16.5
04/08/2015;13;9;-6.6;17.8;11;14.5;Cloudy;15
05/08/2015;22.6;20;9.6;22.15;-2;19;Fine;11
06/08/2015;21.7;18;-0.9;21.45;-1;17.5;Cloudy;11.5
07/08/2015;21.2;17;-0.5;21;0;17;Cloudy;12
08/08/2015;20.8;17;-0.4;19.2;-4;15;Cloudy;10.5
09/08/2015;17.6;13;-3.2;19.2;4;15;Cloudy;14.5
10/08/2015;20.8;17;3.2;21;1;17.5;Cloudy;14.5
11/08/2015;21.2;18;0.4;19.5;-4;16;Cloudy;13.5
12/08/2015;17.8;14;-3.4;20;4;16;Cloudy;18
13/08/2015;22.2;18;4.4;22.3;0;18;Fine;14.5
14/08/2015;22.4;18;0.2;19.95;-4;16;Fine;11
15/08/2015;17.5;14;-4.9;15.8;-5;11.5;Cloudy;12
16/08/2015;14.1;9;-3.4;17.3;7;12.5;Cloudy;15.5
17/08/2015;20.5;16;6.4;21.55;2;17;Cloudy;15
18/08/2015;22.6;18;2.1;18.45;-6;15;Fine;13
19/08/2015;14.3;12;-8.3;15.8;2;13;Cloudy;13.5
20/08/2015;17.3;14;3;14.25;-6;11;Cloudy;13.5
