Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;Cond;Temp min;Temp min;Temp med;exp/gen
01/07/2015;7;2015;13.524;4.568;15.808;8;7;11.5;Cloudy;11;23;17;0.591540964
02/07/2015;7;2015;18.092;4.568;18.5535;15;0;15;Cloudy;6;20;13;0.829095733
03/07/2015;7;2015;19.015;0.923;17.984;15;-2;14;Fine;3;19;11;0.788850907
04/07/2015;7;2015;16.953;-2.062;13.57;13;-6;10;Cloudy;7;21;14;0.766825931
05/07/2015;7;2015;10.187;-6.766;14.199;7;8;11;Cloudy;10;21;15.5;0.68715029
06/07/2015;7;2015;18.211;8.024;18.2595;15;-1;14.5;Fine;8;22;15;0.823677997
07/07/2015;7;2015;18.308;0.097;16.558;14;-3;12.5;Fine;6;23;14.5;0.76469303
08/07/2015;7;2015;14.808;-3.5;15.467;11;3;12.5;Cloudy;4;20;12;0.742841707
09/07/2015;7;2015;16.126;1.318;11.925;14;-10;9;Cloudy;13;20;16.5;0.868163215
10/07/2015;7;2015;7.724;-8.402;9.103;4;2;5;Showers;9;16;12.5;0.51786639
11/07/2015;7;2015;10.482;2.758;15.0105;6;10;11;Cloudy;8;21;14.5;0.572409845
12/07/2015;7;2015;19.539;9.057;19.571;16;-1;15.5;Fine;14;18;16;0.81887507
13/07/2015;7;2015;19.603;0.064;19.538;15;1;15.5;Fine;2;18;10;0.765189002
14/07/2015;7;2015;19.473;-0.13;17.3795;16;-5;13.5;Fine;7;19;13;0.82165049
15/07/2015;7;2015;15.286;-4.187;13.2485;11;-2;10;Cloudy;2;18;10;0.719612718
16/07/2015;7;2015;11.211;-4.075;15.7065;9;7;12.5;Cloudy;3;19;11;0.802782981
17/07/2015;7;2015;20.202;8.991;19.9285;16;-2;15;Fine;6;17;11.5;0.792000792
18/07/2015;7;2015;19.655;-0.547;16.3205;14;-5;11.5;Fine;3;18;10.5;0.71228695
19/07/2015;7;2015;12.986;-6.669;13.442;9;2;10;Cloudy;5;19;12;0.693054058
20/07/2015;7;2015;13.898;0.912;11.1465;11;-7;7.5;Cloudy;9;19;14;0.791480789
21/07/2015;7;2015;8.395;-5.503;8.9945;4;2;5;Cloudy;13;18;15.5;0.476474092
22/07/2015;7;2015;9.594;1.199;10.4945;6;2;7;Cloudy;12;21;16.5;0.625390869
23/07/2015;7;2015;11.395;1.801;11.9305;8;0;8;Cloudy;15;23;19;0.702062308
24/07/2015;7;2015;12.466;1.071;11.2525;8;-1;7.5;Cloudy;15;24;19.5;0.641745548
25/07/2015;7;2015;10.039;-2.427;13.723;7;8;11;Cloudy;17;25;21;0.697280606
26/07/2015;7;2015;17.407;7.368;17.386;15;-1;14.5;Cloudy;11;29;20;0.861722296
27/07/2015;7;2015;17.365;-0.042;16.105;14;-3;12.5;Cloudy;15;24;19.5;0.806219407
28/07/2015;7;2015;14.845;-2.52;15.809;11;2;12;Cloudy;9;20;14.5;0.740990232
29/07/2015;7;2015;16.773;1.928;17.5505;13;2;14;Cloudy;5;20;12.5;0.775055148
30/07/2015;7;2015;18.328;1.555;17.9575;15;-2;14;Cloudy;4;22;13;0.818419904
31/07/2015;7;2015;17.587;-0.741;18.299;13;4;15;Fine;6;24;15;0.739182351
01/08/2015;8;2015;19.011;1.424;18.3335;17;-2;16;Fine;4;24;14;0.894219136
02/08/2015;8;2015;17.656;-1.355;18.5035;15;0;15;Cloudy;6;25;15.5;0.849569551
03/08/2015;8;2015;19.351;1.695;15.113;15;-8;11;Fine;7;27;17;0.775153739
04/08/2015;8;2015;10.875;-8.476;16.16;7;9;11.5;Cloudy;13;22;17.5;0.643678161
05/08/2015;8;2015;21.445;10.57;21.288;16;2;17;Fine;3;20;11.5;0.746094661
06/08/2015;8;2015;21.131;-0.314;20.025;18;-3;16.5;Fine;5;20;12.5;0.851829066
07/08/2015;8;2015;18.919;-2.212;19.7575;15;2;16;Cloudy;2;20;11;0.792853745
08/08/2015;8;2015;20.596;1.677;18.812;17;-4;15;Fine;3;22;12.5;0.825402991
09/08/2015;8;2015;17.028;-3.568;18.205;13;2;14;Cloudy;2;21;11.5;0.763448438
10/08/2015;8;2015;19.382;2.354;19.306;15;1;15.5;Fine;5;24;14.5;0.773913941
11/08/2015;8;2015;19.23;-0.152;18.732;16;-2;15;Fine;5;26;15.5;0.832033281
12/08/2015;8;2015;18.234;-0.996;20.2005;14;3;15.5;Cloudy;7;27;17;0.767796424
13/08/2015;8;2015;22.167;3.933;21.823;17;0;17;Fine;12;22;17;0.766905761
14/08/2015;8;2015;21.479;-0.688;21.1565;17;0;17;Fine;1;23;12;0.791470739
15/08/2015;8;2015;20.834;-0.645;18.478;17;-3;15.5;Fine;3;23;13;0.815973889
16/08/2015;8;2015;16.122;-4.712;17.757;14;1;14.5;Cloudy;4;21;12.5;0.868378613
17/08/2015;8;2015;19.392;3.27;19.2805;15;0;15;Cloudy;6;24;15;0.773514851
18/08/2015;8;2015;19.169;-0.223;19.1595;15;-1;14.5;Cloudy;9;25;17;0.782513433
19/08/2015;8;2015;19.15;-0.019;17.0125;14;-4;12;Cloudy;4;23;13.5;0.731070496
20/08/2015;8;2015;14.875;-4.275;12.76;10;-2;9;Cloudy;6;22;14;0.672268908
21/08/2015;8;2015;10.645;-4.23;10.505;8;-1;7.5;Cloudy;15;21;18;0.751526538
22/08/2015;8;2015;10.365;-0.28;10.4245;7;0;7;Cloudy;17;22;19.5;0.675349735
23/08/2015;8;2015;10.484;0.119;10.6995;7;1;7.5;Cloudy;15;24;19.5;0.66768409
24/08/2015;8;2015;10.915;0.431;14.026;8;7;11.5;Cloudy;14;25;19.5;0.732936326
25/08/2015;8;2015;17.137;6.222;16.7395;15;-1;14.5;Cloudy;16;28;22;0.875299061
26/08/2015;8;2015;16.342;-0.795;12.64;14;-8;10;Cloudy;15;28;21.5;0.856688288
27/08/2015;8;2015;8.938;-7.404;10.6615;6;4;8;Cloudy;17;25;21;0.671291117
28/08/2015;8;2015;12.385;3.447;10.9095;10;-3;8.5;Cloudy;16;24;20;0.807428341
29/08/2015;8;2015;9.434;-2.951;14.441;7;10;12;Cloudy;13;22;17.5;0.741997032
30/08/2015;8;2015;19.448;10.014;21.141;17;4;19;Fine;15;23;19;0.874125874
31/08/2015;8;2015;22.834;3.386;23.008;21;0;21;Fine;5;24;14.5;0.919681177
01/09/2015;9;2015;23.182;0.348;22.68;21;-3;19.5;Fine;4;26;15;0.905875248
02/09/2015;9;2015;22.178;-1.004;19.1375;18;-6;15;Fine;4;26;15;0.811615114
03/09/2015;9;2015;16.097;-6.081;19.44;12;7;15.5;Cloudy;19;26;22.5;0.745480524
04/09/2015;9;2015;22.783;6.686;21.0325;19;-4;17;Fine;8;24;16;0.833955142
05/09/2015;9;2015;19.282;-3.501;18.076;15;-2;14;Cloudy;9;24;16.5;0.777927601
06/09/2015;9;2015;16.87;-2.412;18.3375;13;3;14.5;Cloudy;10;24;17;0.770598696
07/09/2015;9;2015;19.805;2.935;18.1965;16;-4;14;Cloudy;11;25;18;0.807876799
08/09/2015;9;2015;16.588;-3.217;20.2355;12;5;14.5;Cloudy;12;26;19;0.723414517
09/09/2015;9;2015;23.883;7.295;22.899;17;0;17;Fine;6;25;15.5;0.711803375
10/09/2015;9;2015;21.915;-1.968;17.092;17;-9;12.5;Cloudy;6;23;14.5;0.77572439
11/09/2015;9;2015;12.269;-9.646;15.4385;8;6;11;Cloudy;12;20;16;0.652049882
12/09/2015;9;2015;18.608;6.339;20.1505;14;3;15.5;Cloudy;13;22;17.5;0.752364574
13/09/2015;9;2015;21.693;3.085;20.176;17;-2;16;Cloudy;11;24;17.5;0.783662933
14/09/2015;9;2015;18.659;-3.034;18.9855;15;1;15.5;Cloudy;10;24;17;0.803901602
15/09/2015;9;2015;19.312;0.653;20.786;16;3;17.5;Cloudy;13;25;19;0.828500414
16/09/2015;9;2015;22.26;2.948;15.2785;19;-13;12.5;Fine;10;29;19.5;0.853548967
17/09/2015;9;2015;8.297;-13.963;15.8605;6;14;13;Cloudy;14;22;18;0.723152947
18/09/2015;9;2015;23.424;15.127;21.3365;20;-4;18;Fine;12;24;18;0.853825137
19/09/2015;9;2015;19.249;-4.175;20.6825;16;3;17.5;Cloudy;16;23;19.5;0.831212011
20/09/2015;9;2015;22.116;2.867;15.583;19;-13;12.5;Cloudy;13;25;19;0.859106529
21/09/2015;9;2015;9.05;-13.066;14.489;6;11;11.5;Cloudy;15;22;18.5;0.662983425
22/09/2015;9;2015;19.928;10.878;20.2535;17;0;17;Cloudy;11;29;20;0.853071056
23/09/2015;9;2015;20.579;0.651;22.8515;17;5;19.5;Cloudy;10;25;17.5;0.826084844
24/09/2015;9;2015;25.124;4.545;24.779;22;-1;21.5;Fine;7;23;15;0.875656743
25/09/2015;9;2015;24.434;-0.69;22.6985;21;-3;19.5;Fine;5;23;14;0.859458132
26/09/2015;9;2015;20.963;-3.471;19.6465;18;-3;16.5;Cloudy;8;23;15.5;0.858655727
27/09/2015;9;2015;18.33;-2.633;19.911;15;3;16.5;Cloudy;10;23;16.5;0.818330606
28/09/2015;9;2015;21.492;3.162;21.1355;18;-1;17.5;Cloudy;9;25;17;0.837520938
29/09/2015;9;2015;20.779;-0.713;21.2945;17;0;17;Cloudy;11;27;19;0.818133693
30/09/2015;9;2015;21.81;1.031;22.539;17;2;18;Cloudy;12;27;19.5;0.779458964
01/10/2015;10;2015;23.268;1.458;23.6265;19;1;19.5;Fine;13;27;20;0.816572116
02/10/2015;10;2015;23.985;0.717;24.2665;20;0;20;Fine;13;28;20.5;0.833854492
03/10/2015;10;2015;24.548;0.563;24.3805;20;0;20;Fine;11;27;19;0.814730324
04/10/2015;10;2015;24.213;-0.335;24.3025;20;1;20.5;Fine;10;28;19;0.826002561
05/10/2015;10;2015;24.392;0.179;24.57;21;-2;20;Fine;9;32;20.5;0.860938012
06/10/2015;10;2015;24.748;0.356;24.635;19;0;19;Fine;7;30;18.5;0.767738807
07/10/2015;10;2015;24.522;-0.226;21.8085;19;-4;17;Fine;10;28;19;0.774814452
08/10/2015;10;2015;19.095;-5.427;17.1775;15;-4;13;Cloudy;19;26;22.5;0.785545954
09/10/2015;10;2015;15.26;-3.835;16.5065;11;0;11;Cloudy;19;23;21;0.720838794
10/10/2015;10;2015;17.753;2.493;19.407;11;5;13.5;Cloudy;16;25;20.5;0.619613586
11/10/2015;10;2015;21.061;3.308;22.7535;16;5;18.5;Cloudy;15;26;20.5;0.75969802
12/10/2015;10;2015;24.446;3.385;23.4605;21;-1;20.5;Fine;10;28;19;0.859036243
13/10/2015;10;2015;22.475;-1.971;21.582;20;-2;19;Cloudy;15;30;22.5;0.889877642
14/10/2015;10;2015;20.689;-1.786;19.7835;18;-2;17;Cloudy;17;28;22.5;0.870027551
15/10/2015;10;2015;18.878;-1.811;21.108;16;4;18;Cloudy;17;25;21;0.84754741
16/10/2015;10;2015;23.338;4.46;23.13;20;0;20;Cloudy;16;26;21;0.856971463
17/10/2015;10;2015;22.922;-0.416;23.0045;20;0;20;Cloudy;14;28;21;0.872524213
18/10/2015;10;2015;23.087;0.165;21.5905;20;-3;18.5;Cloudy;13;27;20;0.866288387
19/10/2015;10;2015;20.094;-2.993;21.3925;17;3;18.5;Cloudy;15;26;20.5;0.846023689
20/10/2015;10;2015;22.691;2.597;23.0415;20;1;20.5;Cloudy;11;27;19;0.881406725
21/10/2015;10;2015;23.392;0.701;23.1385;21;-1;20.5;Cloudy;11;28;19.5;0.897742818
22/10/2015;10;2015;22.885;-0.507;22.4815;20;-1;19.5;Cloudy;16;32;24;0.873934892
23/10/2015;10;2015;22.078;-0.807;14.758;19;-13;12.5;Cloudy;17;29;23;0.860585198
24/10/2015;10;2015;7.438;-14.64;11.0295;6;6;9;Cloudy;18;24;21;0.806668459
25/10/2015;10;2015;14.621;7.183;16.3435;12;4;14;Cloudy;17;26;21.5;0.820737296
26/10/2015;10;2015;18.066;3.445;19.785;16;1;16.5;Cloudy;16;29;22.5;0.885641537
27/10/2015;10;2015;21.504;3.438;14.5505;17;-13;10.5;Cloudy;18;31;24.5;0.790550595
28/10/2015;10;2015;7.597;-13.907;7.9445;4;0;4;Cloudy;20;24;22;0.526523628
29/10/2015;10;2015;8.292;0.695;8.7865;4;1;4.5;Showers;19;21;20;0.482392668
30/10/2015;10;2015;9.281;0.989;15.8155;5;12;11;Cloudy;18;23;20.5;0.53873505
31/10/2015;10;2015;22.35;13.069;21.829;17;-1;16.5;Cloudy;15;26;20.5;0.760626398
