Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;PP;Cond;Temp min;Temp Max;Temp med;exp/gen
01/07/2015;7;2015;20.05;4.62;22.36;16.577;3.746;18.45;4.735;Cloudy;11;22;16.5;0.826783042
02/07/2015;7;2015;24.67;4.62;26.71;20.323;4.702;22.674;4.833;Cloudy;9;20;14.5;0.823794082
03/07/2015;7;2015;28.75;4.08;22.735;25.025;-13.798;18.126;4.388;Cloudy;5;19;12;0.870434783
04/07/2015;7;2015;16.72;-12.03;19.975;11.227;7.926;15.19;4.303;Cloudy;9;20;14.5;0.671471292
05/07/2015;7;2015;23.23;6.51;25.575;19.153;4.346;21.326;5.12;Cloudy;8;21;14.5;0.824494189
06/07/2015;7;2015;27.92;4.69;28.385;23.499;1.8;24.399;4.218;Cloudy;8;22;15;0.841654728
07/07/2015;7;2015;28.85;0.93;25.135;25.299;-7.405;21.5965;4.411;Cloudy;9;21;15;0.876915078
08/07/2015;7;2015;21.42;-7.43;18.805;17.894;-1.704;17.042;5.106;Cloudy;7;20;13.5;0.835387488
09/07/2015;7;2015;16.19;-5.23;16.25;16.19;-4.479;13.9505;5.176;Cloudy;10;19;14.5;1
10/07/2015;7;2015;16.31;0.12;16.525;11.711;0.208;11.815;4.532;Cloudy;8;19;13.5;0.718025751
11/07/2015;7;2015;16.74;0.43;23.575;11.919;12.338;18.088;5.119;Cloudy;9;20;14.5;0.712007168
12/07/2015;7;2015;30.41;13.67;30.1;24.257;1.142;24.828;4.657;Cloudy;11;17;14;0.797665242
13/07/2015;7;2015;29.79;-0.62;29.96;25.399;0.066;25.432;4.606;Cloudy;7;17;12;0.852601544
14/07/2015;7;2015;30.13;0.34;24.42;25.465;-10.111;20.4095;4.56;Cloudy;9;18;13.5;0.845170926
15/07/2015;7;2015;18.71;-11.42;18.61;15.354;-1.321;14.6935;4.808;Cloudy;4;17;10.5;0.820630679
16/07/2015;7;2015;18.51;-0.2;22.33;14.033;9.449;18.7575;4.838;Cloudy;6;19;12.5;0.75813074
17/07/2015;7;2015;26.15;7.64;27.98;23.482;-1.004;22.98;4.648;Cloudy;6;15;10.5;0.897973231
18/07/2015;7;2015;29.81;3.66;24.275;22.478;-9.122;17.917;4.459;Cloudy;5;17;11;0.754042268
19/07/2015;7;2015;18.74;-11.07;19.575;13.356;3.643;15.1775;5.121;Cloudy;6;19;12.5;0.712700107
