Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;PP;Cond;Temp min;Temp max;Temp med 
01/07/2015;7;2015;23.185;-1.573;22.3985;20;-3;18.5;3.816;Fine;20;27;23.5
02/07/2015;7;2015;21.612;-1.573;20.1875;17;-2;16;4.5;Fine;19;27;23
03/07/2015;7;2015;18.763;-2.849;18.3315;15;0;15;4.176;Fine;20;26;23
04/07/2015;7;2015;17.9;-0.863;16.707;15;-2;14;3.816;Fine;19;25;22
05/07/2015;7;2015;15.514;-2.386;17.359;13;5;15.5;4.416;Cloudy;20;26;23
06/07/2015;7;2015;19.204;3.69;20.9455;18;2;19;4.308;Fine;20;26;23
07/07/2015;7;2015;22.687;3.483;23.9745;20;3;21.5;4.296;Fine;18;27;22.5
08/07/2015;7;2015;25.262;2.575;20.851;23;-9;18.5;4.188;Fine;16;27;21.5
09/07/2015;7;2015;16.44;-8.822;13.1325;14;-7;10.5;4.224;Cloudy;20;26;23
10/07/2015;7;2015;9.825;-6.615;14.258;7;9;11.5;2.46;Cloudy;19;24;21.5
11/07/2015;7;2015;18.691;8.866;20.4225;16;4;18;4.572;Fine;20;27;23.5
12/07/2015;7;2015;22.154;3.463;23.9075;20;2;21;4.344;Fine;17;27;22
13/07/2015;7;2015;25.661;3.507;25.6655;22;0;22;3.78;Fine;14;23;18.5
14/07/2015;7;2015;25.67;0.009;24.669;22;0;22;4.14;Fine;11;22;16.5
15/07/2015;7;2015;23.668;-2.002;24.804;22;1;22.5;4.356;Fine;16;24;20
16/07/2015;7;2015;25.94;2.272;26.0735;23;2;24;3.6;Fine;16;25;20.5
17/07/2015;7;2015;26.207;0.267;26.53;25;0;25;3.876;Fine;14;24;19
18/07/2015;7;2015;26.853;0.646;23.0615;25;-9;20.5;3.948;Fine;16;23;19.5
19/07/2015;7;2015;19.27;-7.583;15.0195;16;-8;12;3.984;Fine;19;25;22
20/07/2015;7;2015;10.769;-8.501;12.0135;8;2;9;3.288;Cloudy;20;25;22.5
21/07/2015;7;2015;13.258;2.489;12.616;10;-2;9;3.84;Cloudy;21;26;23.5
22/07/2015;7;2015;11.974;-1.284;12.589;8;2;9;4.572;Cloudy;21;27;24
23/07/2015;7;2015;13.204;1.23;17.3805;10;8;14;3.84;Cloudy;22;27;24.5
24/07/2015;7;2015;21.557;8.353;20.9805;18;0;18;4.332;Fine;22;28;25
25/07/2015;7;2015;20.404;-1.153;19.9175;18;-1;17.5;4.404;Fine;22;28;25
26/07/2015;7;2015;19.431;-0.973;22.065;17;5;19.5;4.356;Fine;21;28;24.5
27/07/2015;7;2015;24.699;5.268;21.38;22;-6;19;4.152;Fine;21;28;24.5
28/07/2015;7;2015;18.061;-6.638;18.278;16;0;16;4.14;Fine;20;27;23.5
29/07/2015;7;2015;18.495;0.434;19.8765;16;2;17;3.96;Fine;20;26;23
30/07/2015;7;2015;21.258;2.763;19.269;18;-4;16;4.5;Fine;20;26;23
31/07/2015;7;2015;17.28;-3.978;22.1675;14;10;19;4.08;Fine;20;26;23
01/08/2015;8;2015;27.055;9.775;23.394;24;-8;20;4.56;Fine;20;27;23.5
02/08/2015;8;2015;19.733;-7.322;23.1645;16;8;20;4.5;Fine;20;27;23.5
03/08/2015;8;2015;26.596;6.863;26.811;24;-1;23.5;3.924;Fine;16;27;21.5
04/08/2015;8;2015;27.026;0.43;26.1265;23;-1;22.5;3.876;Fine;17;28;22.5
05/08/2015;8;2015;25.227;-1.799;26.7575;22;3;23.5;4.524;Fine;18;26;22
06/08/2015;8;2015;28.288;3.061;28.046;25;-1;24.5;4.044;Fine;15;25;20
07/08/2015;8;2015;27.804;-0.484;24.3685;24;-5;21.5;4.104;Fine;16;25;20.5
08/08/2015;8;2015;20.933;-6.871;23.716;19;5;21.5;4.764;Fine;16;25;20.5
09/08/2015;8;2015;26.499;5.566;23.707;24;-5;21.5;4.32;Fine;11;26;18.5
10/08/2015;8;2015;20.915;-5.584;23.61;19;4;21;4.896;Fine;16;26;21
11/08/2015;8;2015;26.305;5.39;26.632;23;0;23;4.62;Fine;14;26;20
12/08/2015;8;2015;26.959;0.654;27.3935;23;2;24;4.284;Fine;19;26;22.5
13/08/2015;8;2015;27.828;0.869;28.1605;25;1;25.5;3.996;Fine;16;27;21.5
14/08/2015;8;2015;28.493;0.665;28.2845;26;0;26;4.488;Fine;18;26;22
15/08/2015;8;2015;28.076;-0.417;22.9075;26;-12;20;4.188;Fine;20;26;23
