Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;gen/exp;PP;Cond;Temp min;Temp max;Temp med
01/07/2015;7;2015;7.838;0.904;8.29;4;3;5.5;0.510334269;1.807;Cloudy;12;23;17.5
02/07/2015;7;2015;8.742;0.904;9.273;7;1;7.5;0.800732098;1.926;Cloudy;12;20;16
03/07/2015;7;2015;9.804;1.062;8.559;8;-4;6;0.815993472;1.663;Fine;8;21;14.5
04/07/2015;7;2015;7.314;-2.49;8.0985;4;2;5;0.546896363;1.868;Cloudy;10;21;15.5
05/07/2015;7;2015;8.883;1.569;9.2225;6;2;7;0.675447484;1.974;Cloudy;10;23;16.5
06/07/2015;7;2015;9.562;0.679;9.729;8;-1;7.5;0.836645053;1.608;Cloudy;9;24;16.5
07/07/2015;7;2015;9.896;0.334;8.7505;7;-3;5.5;0.707356508;1.677;Fine;10;23;16.5
08/07/2015;7;2015;7.605;-2.291;6.2185;4;0;4;0.525969757;1.893;Cloudy;7;20;13.5
09/07/2015;7;2015;4.832;-2.773;5.696;4;0;4;0.82781457;2.101;Cloudy;12;19;15.5
10/07/2015;7;2015;6.56;1.728;6.6145;4;0;4;0.609756098;2.059;Cloudy;10;20;15
11/07/2015;7;2015;6.669;0.109;8.5895;4;3;5.5;0.599790073;2.31;Cloudy;11;21;16
12/07/2015;7;2015;10.51;3.841;10.4715;7;1;7.5;0.66603235;1.76;Fine;12;18;15
13/07/2015;7;2015;10.433;-0.077;10.4105;8;-1;7.5;0.766797661;1.782;Fine;8;18;13
14/07/2015;7;2015;10.388;-0.045;8.688;7;-3;5.5;0.673854447;1.744;Fine;10;19;14.5
15/07/2015;7;2015;6.988;-3.4;7.006;4;0;4;0.572409845;1.701;Cloudy;5;18;11.5
16/07/2015;7;2015;7.024;0.036;8.956;4;5;6.5;0.569476082;2.087;Cloudy;8;17;12.5
17/07/2015;7;2015;10.888;3.864;10.648;9;-2;8;0.82659809;1.828;Fine;7;16;11.5
18/07/2015;7;2015;10.408;-0.48;8.771;7;-2;6;0.67255957;1.734;Fine;7;19;13
19/07/2015;7;2015;7.134;-3.274;7.5515;5;0;5;0.700869078;1.705;Cloudy;8;19;13.5
20/07/2015;7;2015;7.969;0.835;7.7065;5;0;5;0.627431296;2.02;Cloudy;12;21;16.5
21/07/2015;7;2015;7.444;-0.525;6.0585;5;-2;4;0.671681891;2.36;Cloudy;11;22;16.5
22/07/2015;7;2015;4.673;-2.771;5.49;3;1;3.5;0.641985876;2.004;Cloudy;10;19;14.5
23/07/2015;7;2015;6.307;1.634;6.819;4;1;4.5;0.634215951;2.085;Cloudy;14;23;18.5
24/07/2015;7;2015;7.331;1.024;6.476;5;-2;4;0.682035193;2.082;Cloudy;14;24;19
25/07/2015;7;2015;5.621;-1.71;6.3365;3;1;3.5;0.533712862;1.782;Cloudy;16;24;20
26/07/2015;7;2015;7.052;1.431;7.847;4;2;5;0.567214974;1.837;Cloudy;13;25;19
27/07/2015;7;2015;8.642;1.59;9.271;6;2;7;0.694283731;1.93;Cloudy;14;23;18.5
28/07/2015;7;2015;9.9;1.258;10.3065;8;-1;7.5;0.808080808;1.824;Fine;10;21;15.5
29/07/2015;7;2015;10.713;0.813;10.31;7;0;7;0.653411743;1.764;Fine;8;22;15
30/07/2015;7;2015;9.907;-0.806;10.3995;7;0;7;0.706571111;2.031;Fine;10;23;16.5
31/07/2015;7;2015;10.892;0.985;10.736;7;0;7;0.642673522;1.799;Fine;10;24;17
01/08/2015;8;2015;10.58;-0.312;10.619;7;1;7.5;0.661625709;1.724;Cloudy;9;24;16.5
02/08/2015;8;2015;10.658;0.078;10.551;8;0;8;0.750609871;1.719;Cloudy;10;26;18
03/08/2015;8;2015;10.444;-0.214;9.081;8;-3;6.5;0.765990042;1.699;Cloudy;11;27;19
04/08/2015;8;2015;7.718;-2.726;9.7875;5;5;7.5;0.647836227;2.29;Cloudy;14;22;18
05/08/2015;8;2015;11.857;4.139;11.5565;10;-1;9.5;0.843383655;1.954;Cloudy;8;19;13.5
06/08/2015;8;2015;11.256;-0.601;10.609;9;-1;8.5;0.799573561;1.862;Cloudy;6;21;13.5
07/08/2015;8;2015;9.962;-1.294;10.52;8;0;8;0.803051596;2.039;Cloudy;8;21;14.5
08/08/2015;8;2015;11.078;1.116;10.7665;8;-1;7.5;0.722152013;1.809;Cloudy;8;22;15
09/08/2015;8;2015;10.455;-0.623;10.628;7;2;8;0.669536107;2.032;Cloudy;8;22;15
10/08/2015;8;2015;10.801;0.346;11.068;9;0;9;0.83325618;2.082;Cloudy;9;23;16
11/08/2015;8;2015;11.335;0.534;10.3515;9;-3;7.5;0.794000882;1.782;Cloudy;9;26;17.5
12/08/2015;8;2015;9.368;-1.967;10.892;6;4;8;0.640478224;1.852;Cloudy;12;28;20
13/08/2015;8;2015;12.416;3.048;12.086;10;0;10;0.805412371;1.992;Fine;12;22;17
14/08/2015;8;2015;11.756;-0.66;11.23;10;-2;9;0.850629466;1.881;Cloudy;8;23;15.5
15/08/2015;8;2015;10.704;-1.052;8.788;8;-5;5.5;0.747384155;2.146;Cloudy;8;23;15.5
16/08/2015;8;2015;6.872;-3.832;8.1745;3;3;4.5;0.436554133;2.332;Cloudy;11;22;16.5
17/08/2015;8;2015;9.477;2.605;10.846;6;4;8;0.633111744;2.417;Cloudy;11;23;17
18/08/2015;8;2015;12.215;2.738;10.9545;10;-4;8;0.818665575;1.901;Fine;10;24;17
19/08/2015;8;2015;9.694;-2.521;8.5825;6;-1;5.5;0.61893955;2.227;Cloudy;10;23;16.5
20/08/2015;8;2015;7.471;-2.223;7.3205;5;-2;4;0.669254451;2.155;Cloudy;11;22;16.5
21/08/2015;8;2015;7.17;-0.301;8.3045;3;4;5;0.418410042;2.467;Cloudy;15;22;18.5
22/08/2015;8;2015;9.439;2.269;7.838;7;-5;4.5;0.741603983;2.349;Cloudy;17;24;20.5
23/08/2015;8;2015;6.237;-3.202;7.2365;2;2;3;0.320666987;1.274;Cloudy;16;24;20
24/08/2015;8;2015;8.236;1.999;9.4275;4;3;5.5;0.485672657;2.172;Cloudy;17;25;21
25/08/2015;8;2015;10.619;2.383;10.843;7;1;7.5;0.659195781;2.22;Cloudy;17;29;23
26/08/2015;8;2015;11.067;0.448;7.747;8;-6;5;0.722869793;2.07;Cloudy;16;28;22
27/08/2015;8;2015;4.427;-6.64;7.2995;2;6;5;0.45177321;1.354;Cloudy;16;24;20
28/08/2015;8;2015;10.172;5.745;9.065;8;-3;6.5;0.78647267;2.79;Cloudy;15;25;20
29/08/2015;8;2015;7.958;-2.214;10.836;5;5;7.5;0.628298567;2.129;Cloudy;12;23;17.5
30/08/2015;8;2015;13.714;5.756;13.1435;10;0;10;0.729181858;2.073;Fine;14;23;18.5
31/08/2015;8;2015;12.573;-1.141;13.306;10;2;11;0.795355126;2.464;Fine;11;24;17.5
01/09/2015;9;2015;14.039;1.466;12.967;12;-3;10.5;0.854761735;2.13;Cloudy;9;25;17
02/09/2015;9;2015;11.895;-2.144;11.3505;9;0;9;0.756620429;2.138;Cloudy;7;25;16
03/09/2015;9;2015;10.806;-1.089;11.9675;9;2;10;0.832870627;2.585;Cloudy;16;25;20.5
04/09/2015;9;2015;13.129;2.323;11.8775;11;-4;9;0.837839896;2.023;Cloudy;13;25;19
05/09/2015;9;2015;10.626;-2.503;9.448;7;-2;6;0.658761528;2.545;Cloudy;12;24;18
06/09/2015;9;2015;8.27;-2.356;8.895;5;2;6;0.604594921;2.182;Cloudy;13;24;18.5
07/09/2015;9;2015;9.52;1.25;10.4625;7;1;7.5;0.735294118;2.463;Cloudy;14;26;20
08/09/2015;9;2015;11.405;1.885;12.7355;8;4;10;0.701446734;2.092;Cloudy;15;28;21.5
09/09/2015;9;2015;14.066;2.661;13.1955;12;-2;11;0.853121001;2.135;Cloudy;11;26;18.5
