Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;PP;Cond;Temp min;Temp max;Temp med
01/07/2015;7;2015;19.309;2.359;20.4885;16.359;2.225;17.4715;4.001;Cloudy;17;26;21.5
02/07/2015;7;2015;21.668;2.359;21.4155;18.584;-0.772;18.198;4.031;Cloudy;14;26;20
03/07/2015;7;2015;21.163;-0.505;21.3525;17.812;0.389;18.0065;4.486;Cloudy;12;25;18.5
04/07/2015;7;2015;21.542;0.379;21.3175;18.201;-2.334;17.034;4.31;Cloudy;12;25;18.5
05/07/2015;7;2015;21.093;-0.449;21.658;15.867;2.898;17.316;3.993;Cloudy;15;26;20.5
06/07/2015;7;2015;22.223;1.13;21.4515;18.765;-1.179;18.1755;3.403;Fine;13;25;19
07/07/2015;7;2015;20.68;-1.543;22.0885;17.586;2.827;18.9995;4.022;Cloudy;13;26;19.5
08/07/2015;7;2015;23.497;2.817;18.9965;20.413;-8.988;15.919;3.849;Fine;12;26;19
09/07/2015;7;2015;14.496;-9.001;15.7685;11.425;2.589;12.7195;4.309;Cloudy;13;25;19
10/07/2015;7;2015;17.041;2.545;18.376;14.014;-0.042;13.993;3.826;Cloudy;18;26;22
11/07/2015;7;2015;19.711;2.67;21.2895;13.972;4.982;16.463;4.133;Cloudy;16;26;21
12/07/2015;7;2015;22.868;3.157;23.2845;18.954;1.674;19.791;3.486;Fine;15;26;20.5
13/07/2015;7;2015;23.701;0.833;23.6585;20.628;0.075;20.6655;3.607;Fine;13;23;18
14/07/2015;7;2015;23.616;-0.085;23.6035;20.703;-0.199;20.6035;3.602;Fine;6;22;14
15/07/2015;7;2015;23.591;-0.025;23.191;20.504;-0.84;20.084;3.517;Fine;7;23;15
16/07/2015;7;2015;22.791;-0.8;23.457;19.664;1.307;20.3175;3.404;Fine;9;25;17
17/07/2015;7;2015;24.123;1.332;23.992;20.971;-1.315;20.3135;3.595;Fine;13;24;18.5
18/07/2015;7;2015;23.861;-0.262;23.1435;19.656;-1.116;19.098;3.539;Fine;9;22;15.5
19/07/2015;7;2015;22.426;-1.435;16.553;18.54;-11.033;13.0235;4.238;Fine;7;23;15
20/07/2015;7;2015;10.68;-11.746;13.2035;7.507;5.252;10.133;3.491;Cloudy;13;23;18
21/07/2015;7;2015;15.727;5.047;18.17;12.759;4.593;15.0555;4.106;Cloudy;19;26;22.5
22/07/2015;7;2015;20.613;4.886;21.305;17.352;1.03;17.867;3.722;Cloudy;20;27;23.5
23/07/2015;7;2015;21.997;1.384;19.479;18.382;-5.426;15.669;3.375;Cloudy;21;27;24
24/07/2015;7;2015;16.961;-5.036;19.7995;12.956;3.214;14.563;4.27;Cloudy;21;27;24
25/07/2015;7;2015;22.638;5.677;21.685;16.17;-1.618;15.361;3.557;Fine;18;27;22.5
26/07/2015;7;2015;20.732;-1.906;22.1405;14.552;5.33;17.217;4.046;Cloudy;18;27;22.5
27/07/2015;7;2015;23.549;2.817;17.7105;19.882;-11.488;14.138;3.521;Fine;18;27;22.5
28/07/2015;7;2015;11.872;-11.677;15.115;8.394;6.969;11.8785;4.671;Cloudy;19;28;23.5
29/07/2015;7;2015;18.358;6.486;21.3915;15.363;6.049;18.3875;4.987;Cloudy;16;26;21
30/07/2015;7;2015;24.425;6.067;24.472;21.412;0.142;21.483;4.041;Fine;13;26;19.5
31/07/2015;7;2015;24.519;0.094;23.909;21.554;-1.837;20.6355;3.629;Fine;13;27;20
01/08/2015;8;2015;23.299;-1.22;23.9;19.717;-0.568;19.433;3.583;Cloudy;13;26;19.5
02/08/2015;8;2015;24.501;1.202;24.6265;19.149;2.283;20.2905;4.193;Fine;14;27;20.5
03/08/2015;8;2015;24.752;0.251;24.4765;21.432;-0.691;21.0865;3.653;Fine;13;26;19.5
04/08/2015;8;2015;24.201;-0.551;24.585;20.741;1.005;21.2435;3.539;Fine;14;27;20.5
05/08/2015;8;2015;24.969;0.768;25.56;21.746;0.742;22.117;3.635;Fine;14;26;20
06/08/2015;8;2015;26.151;1.182;26.282;22.488;-0.067;22.4545;3.945;Fine;9;26;17.5
07/08/2015;8;2015;26.413;0.262;24.2245;22.421;-4.449;20.1965;3.847;Fine;7;23;15
08/08/2015;8;2015;22.036;-4.377;23.793;17.972;2.976;19.46;3.589;Cloudy;8;24;16
09/08/2015;8;2015;25.55;3.514;25.3035;20.948;0.191;21.0435;4;Fine;9;25;17
10/08/2015;8;2015;25.057;-0.493;24.226;21.139;-2.281;19.9985;3.665;Fine;12;26;19
11/08/2015;8;2015;23.395;-1.662;22.804;18.858;0.203;18.9595;4.306;Cloudy;13;26;19.5
12/08/2015;8;2015;22.213;-1.182;24.5085;19.061;4.6;21.361;4.458;Cloudy;14;26;20
