Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;exp/gen;PP;Cond;Temp min;Temp max;Temp med
01/07/2015;7;2015;10.959;0.123;11.0205;7.836;0.386;8.029;0.715028743;2.739;Cloudy;20;26;23
02/07/2015;7;2015;11.082;0.123;10.553;8.222;-1.261;7.5915;0.74192384;2.697;Cloudy;18;26;22
03/07/2015;7;2015;10.024;-1.058;10.7945;6.961;0.614;7.268;0.69443336;2.867;Cloudy;16;26;21
04/07/2015;7;2015;11.565;1.541;10.3535;7.575;-1.912;6.619;0.654993515;2.834;Cloudy;16;25;20.5
05/07/2015;7;2015;9.142;-2.423;10.4915;5.663;2.549;6.9375;0.619448698;2.031;Cloudy;17;26;21.5
06/07/2015;7;2015;11.841;2.699;11.7345;8.212;0.132;8.278;0.693522507;2.516;Cloudy;19;26;22.5
07/07/2015;7;2015;11.628;-0.213;12.027;8.344;0.307;8.4975;0.717578259;2.313;Cloudy;16;26;21
08/07/2015;7;2015;12.426;0.798;11.543;8.651;-1.435;7.9335;0.696201513;2.371;Cloudy;15;26;20.5
09/07/2015;7;2015;10.66;-1.766;8.5925;7.216;-3.585;5.4235;0.676923077;2.546;Cloudy;20;26;23
10/07/2015;7;2015;6.525;-4.135;7.5775;3.631;1.914;4.588;0.556475096;1.729;Cloudy;19;23;21
11/07/2015;7;2015;8.63;2.105;9.7405;5.545;2.16;6.625;0.642526072;2.579;Cloudy;19;27;23
12/07/2015;7;2015;10.851;2.221;11.322;7.705;3.134;9.272;0.710072804;2.245;Cloudy;16;26;21
13/07/2015;7;2015;11.793;0.942;12.363;10.839;-2.242;9.718;0.919104554;2.321;Cloudy;14;23;18.5
14/07/2015;7;2015;12.933;1.14;12.601;8.597;1.247;9.2205;0.664733627;2.443;Cloudy;11;22;16.5
15/07/2015;7;2015;12.269;-0.664;11.922;9.844;-1.039;9.3245;0.80234738;2.477;Cloudy;9;24;16.5
16/07/2015;7;2015;11.575;-0.694;11.905;8.805;-0.305;8.6525;0.760691145;2.291;Cloudy;11;24;17.5
17/07/2015;7;2015;12.235;0.66;12.6595;8.5;1.485;9.2425;0.694728239;2.364;Cloudy;14;23;18.5
18/07/2015;7;2015;13.084;0.849;12.4945;9.985;-1.922;9.024;0.763145827;2.642;Cloudy;10;23;16.5
19/07/2015;7;2015;11.905;-1.179;9.4995;8.063;-3.666;6.23;0.677278454;2.534;Cloudy;14;24;19
20/07/2015;7;2015;7.094;-4.811;8.194;4.397;1.822;5.308;0.619819566;2.472;Cloudy;18;24;21
21/07/2015;7;2015;9.294;2.2;9.84;6.219;0.275;6.3565;0.669141382;2.168;Cloudy;18;25;21.5
22/07/2015;7;2015;10.386;1.092;9.9255;6.494;-0.75;6.119;0.62526478;2.637;Cloudy;20;26;23
23/07/2015;7;2015;9.465;-0.921;10.99;5.744;3.152;7.32;0.606867406;2.309;Cloudy;21;27;24
24/07/2015;7;2015;12.515;3.05;12.191;8.896;-0.039;8.8765;0.710827008;2.683;Cloudy;21;28;24.5
25/07/2015;7;2015;11.867;-0.648;10.944;8.857;-1.798;7.958;0.746355439;2.347;Cloudy;18;28;23
26/07/2015;7;2015;10.021;-1.846;11.6965;7.059;2.51;8.314;0.704420716;2.905;Cloudy;20;28;24
