Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;gen/exp;PP;Cond;Temp min;Temp min;Temp med
01/07/2015;7;2015;16.743;2.689;18.0875;11.734;2.365;12.9165;0.700830198;4.394;Cloudy;9;23;16
02/07/2015;7;2015;19.432;2.689;19.9905;14.099;2.365;14.8765;0.725555784;4.474;Cloudy;11;20;15.5
03/07/2015;7;2015;20.549;1.117;19.7335;15.654;1.555;15.026;0.761788895;3.339;Cloudy;5;20;12.5
04/07/2015;7;2015;18.918;-1.631;19.115;14.398;-1.256;14.476;0.761074109;3.337;Cloudy;7;21;14
05/07/2015;7;2015;19.312;0.394;19.6885;14.554;0.156;14.6335;0.753624689;3.755;Cloudy;6;22;14
06/07/2015;7;2015;20.065;0.753;20.4025;14.713;0.159;15.205;0.733266883;3.236;Cloudy;6;24;15
07/07/2015;7;2015;20.74;0.675;18.9255;15.697;0.984;13.7855;0.756846673;3.377;Cloudy;7;22;14.5
08/07/2015;7;2015;17.111;-3.629;16.4935;11.874;-3.823;11.3115;0.693939571;3.997;Cloudy;5;20;12.5
09/07/2015;7;2015;15.876;-1.235;14.5295;10.749;-1.125;9.727;0.677059713;4.024;Cloudy;9;21;15
10/07/2015;7;2015;13.183;-2.693;13.1695;8.705;-2.044;8.505;0.660320109;3.556;Cloudy;5;20;12.5
11/07/2015;7;2015;13.156;-0.027;17.4555;8.305;-0.4;12.6155;0.631270903;4.178;Cloudy;9;21;15
12/07/2015;7;2015;21.755;8.599;21.0885;16.926;8.621;16.464;0.77802804;3.557;Cloudy;10;18;14
13/07/2015;7;2015;20.422;-1.333;21.0315;16.002;-0.924;16.1655;0.783566742;3.554;Cloudy;6;17;11.5
14/07/2015;7;2015;21.641;1.219;18.4215;16.329;0.327;13.609;0.754539994;3.491;Cloudy;8;19;13.5
15/07/2015;7;2015;15.202;-6.439;14.687;10.889;-5.44;10.382;0.716287331;3.086;Cloudy;2;17;9.5
16/07/2015;7;2015;14.172;-1.03;18.121;9.875;-1.014;13.589;0.6967965;4.028;Cloudy;4;17;10.5
17/07/2015;7;2015;22.07;7.898;21.992;17.303;7.428;16.7025;0.784005437;4.336;Cloudy;5;15;10
18/07/2015;7;2015;21.914;-0.156;19.604;16.102;-1.201;14.386;0.734781418;3.516;Cloudy;5;19;12
19/07/2015;7;2015;17.294;-4.62;12.4755;12.67;-3.432;8.664;0.732624031;4.663;Cloudy;4;19;11.5
20/07/2015;7;2015;7.657;-9.637;11.557;4.658;-8.012;8.0015;0.608332245;3.806;Cloudy;8;21;14.5
21/07/2015;7;2015;15.457;7.8;12.7905;11.345;6.687;8.6915;0.733971663;4.017;Cloudy;7;20;13.5
22/07/2015;7;2015;10.124;-5.333;12.938;6.038;-5.307;10.521;0.596404583;4.119;Cloudy;7;18;12.5
23/07/2015;7;2015;15.752;5.628;13.958;15.004;8.966;11.428;0.952513966;2.541;Cloudy;12;23;17.5
24/07/2015;7;2015;12.164;-3.588;11.8405;7.852;-7.152;7.364;0.645511345;3.11;Cloudy;13;24;18.5
25/07/2015;7;2015;11.517;-0.647;12.3655;6.876;-0.976;6.9665;0.597030477;4.457;Cloudy;15;24;19.5
26/07/2015;7;2015;13.214;1.697;16.128;7.057;0.181;10.651;0.53405479;4.427;Cloudy;10;24;17
27/07/2015;7;2015;19.042;5.828;19.8785;14.245;7.188;15.426;0.748083185;4.297;Cloudy;12;23;17.5
28/07/2015;7;2015;20.715;1.673;21.778;16.607;2.362;17.4;0.801689597;3.551;Cloudy;8;20;14
29/07/2015;7;2015;22.841;2.126;22.874;18.193;1.586;17.5305;0.796506283;3.597;Cloudy;5;21;13
30/07/2015;7;2015;22.907;0.066;22.3705;16.868;-1.325;17.455;0.736368796;3.771;Cloudy;8;23;15.5
31/07/2015;7;2015;21.834;-1.073;22.301;18.042;1.174;17.117;0.826325914;3.91;Cloudy;5;24;14.5
01/08/2015;8;2015;22.768;0.934;22.839;16.192;-1.85;16.5935;0.711173577;3.507;Cloudy;5;24;14.5
02/08/2015;8;2015;22.91;0.142;22.7445;16.995;0.803;17.5495;0.741815801;3.522;Cloudy;7;25;16
03/08/2015;8;2015;22.579;-0.331;20.577;18.104;1.109;16.0865;0.801806989;3.498;Cloudy;9;27;18
04/08/2015;8;2015;18.575;-4.004;22.148;14.069;-4.035;17.6395;0.757415882;4.449;Cloudy;12;22;17
05/08/2015;8;2015;25.721;7.146;25.193;21.21;7.141;20.5155;0.824618016;3.911;Cloudy;6;19;12.5
06/08/2015;8;2015;24.665;-1.056;24.346;19.821;-1.389;19.4865;0.803608352;3.742;Cloudy;5;20;12.5
07/08/2015;8;2015;24.027;-0.638;24.348;19.152;-0.669;18.049;0.797103259;3.731;Cloudy;6;21;13.5
08/08/2015;8;2015;24.669;0.642;24.4645;16.946;-2.206;17.499;0.68693502;3.717;Cloudy;5;21;13
09/08/2015;8;2015;24.26;-0.409;24.371;18.052;1.106;18.7415;0.744105523;4.482;Cloudy;4;22;13
10/08/2015;8;2015;24.482;0.222;24.8215;19.431;1.379;19.47;0.793685156;3.683;Cloudy;4;25;14.5
11/08/2015;8;2015;25.161;0.679;22.764;19.509;0.078;17.0105;0.775366639;3.749;Cloudy;6;27;16.5
12/08/2015;8;2015;20.367;-4.794;23.529;14.512;-4.997;17.715;0.712525163;4.256;Cloudy;9;29;19
13/08/2015;8;2015;26.691;6.324;26.4435;20.918;6.406;21.0195;0.783709865;3.928;Cloudy;10;22;16
14/08/2015;8;2015;26.196;-0.495;24.722;21.121;0.203;19.3585;0.806268133;3.887;Cloudy;6;22;14
15/08/2015;8;2015;23.248;-2.948;20.922;17.596;-3.525;14.7345;0.756882312;4.654;Cloudy;4;23;13.5
16/08/2015;8;2015;18.596;-4.652;21.332;11.873;-5.723;15.595;0.638470639;5.04;Cloudy;6;21;13.5
17/08/2015;8;2015;24.068;5.472;25.4825;19.317;7.444;20.4945;0.802600964;3.809;Cloudy;7;24;15.5
18/08/2015;8;2015;26.897;2.829;24.2095;21.672;2.355;18.9925;0.805740417;3.952;Cloudy;8;24;16
