Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;exp/gen;Cond;Temp min;Temp max;Temp med
01/07/2015;7;2015;25.73;0.83;26.145;12.776;-0.993;12.2795;0.496541003;Cloudy;12;22;17
02/07/2015;7;2015;26.56;0.83;26.145;11.783;-0.993;12.2795;0.443637048;Cloudy;8;22;15
03/07/2015;7;2015;30.36;3.8;28.46;15.626;3.843;13.7045;0.514690382;Cloudy;6;20;13
04/07/2015;7;2015;30.8;0.44;30.58;14.145;-1.481;14.8855;0.459253247;Cloudy;9;21;15
05/07/2015;7;2015;26.4;-4.4;28.6;19.579;5.434;16.862;0.741628788;Cloudy;8;22;15
06/07/2015;7;2015;30.08;3.68;28.24;13.156;-6.423;16.3675;0.437367021;Cloudy;9;24;16.5
07/07/2015;7;2015;26.9;-3.18;28.49;12.573;-0.583;12.8645;0.46739777;Cloudy;8;23;15.5
08/07/2015;7;2015;25.81;-1.09;26.355;12.873;0.3;12.723;0.49876017;Cloudy;9;21;15
09/07/2015;7;2015;27.15;1.34;26.48;13.645;0.772;13.259;0.502578269;Cloudy;13;20;16.5
10/07/2015;7;2015;13.97;-13.18;20.56;8.677;-4.968;11.161;0.621116679;Cloudy;9;15;12
11/07/2015;7;2015;20.98;7.01;17.475;8.528;-0.149;8.6025;0.406482364;Cloudy;8;22;15
12/07/2015;7;2015;18.15;-2.83;19.565;10.105;1.577;9.3165;0.556749311;Cloudy;12;19;15.5
13/07/2015;7;2015;24.3;6.15;21.225;10.874;0.769;10.4895;0.447489712;Cloudy;2;20;11
14/07/2015;7;2015;24.43;0.13;24.365;9.835;-1.039;10.3545;0.402578797;Cloudy;3;20;11.5
15/07/2015;7;2015;28.51;4.08;26.47;10.868;1.033;10.3515;0.381199579;Cloudy;2;18;10
16/07/2015;7;2015;21.58;-6.93;25.045;10.664;-0.204;10.766;0.49416126;Cloudy;4;21;12.5
17/07/2015;7;2015;36.35;14.77;28.965;16.16;5.496;13.412;0.444566713;Cloudy;5;18;11.5
18/07/2015;7;2015;32.12;-4.23;34.235;15.075;-1.085;15.6175;0.469333748;Cloudy;2;18;10
19/07/2015;7;2015;28.7;-3.42;30.41;14.12;-0.955;14.5975;0.491986063;Cloudy;5;20;12.5
20/07/2015;7;2015;31.73;3.03;30.215;15.238;1.118;14.679;0.480239521;Cloudy;12;20;16
21/07/2015;7;2015;21.28;-10.45;26.505;5.94;-9.298;10.589;0.279135338;Cloudy;13;21;17
22/07/2015;7;2015;21.92;0.64;21.6;6.617;0.677;6.2785;0.301870438;Cloudy;14;21;17.5
23/07/2015;7;2015;24.78;2.86;23.35;15.199;8.582;10.908;0.613357546;Cloudy;15;21;18
24/07/2015;7;2015;27.52;2.74;26.15;13.286;-1.913;14.2425;0.482776163;Cloudy;14;24;19
25/07/2015;7;2015;21.87;-5.65;24.695;10.789;-2.497;12.0375;0.493324188;Cloudy;16;25;20.5
26/07/2015;7;2015;31.47;9.6;26.67;19.054;8.265;14.9215;0.605465523;Cloudy;11;26;18.5
27/07/2015;7;2015;11.37;-20.1;21.42;6;-13.054;12.527;0.527704485;Cloudy;12;24;18
28/07/2015;7;2015;13.22;1.85;12.295;9.647;3.647;7.8235;0.729727685;Cloudy;11;21;16
29/07/2015;7;2015;27.85;14.63;20.535;17.138;7.491;13.3925;0.615368043;Cloudy;10;20;15
