Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;exp/gen;PP;Cond;Temp min;Temp max;Temp med
01/07/2015;7;2015;51.467;-5.495;48.7195;46.058;-6.927;42.5945;0.89490353;8.521;Cloudy;19;26;22.5
02/07/2015;7;2015;45.972;-5.495;50.679;39.131;-6.927;44.2235;0.85119203;8.525;Cloudy;17;26;21.5
03/07/2015;7;2015;55.386;9.414;60.22;49.316;10.185;54.0205;0.890405518;8.523;Cloudy;17;26;21.5
04/07/2015;7;2015;65.054;9.668;46.5405;58.725;9.409;41.1815;0.902711593;8.437;Cloudy;19;28;23.5
05/07/2015;7;2015;28.027;-37.027;36.7795;23.638;-35.087;32.8;0.843401006;8.174;Cloudy;19;26;22.5
06/07/2015;7;2015;45.532;17.505;49.3075;41.962;18.324;44.634;0.921593604;8.531;Cloudy;19;27;23
07/07/2015;7;2015;53.083;7.551;54.777;47.306;5.344;49.606;0.891170431;8.526;Cloudy;17;27;22
08/07/2015;7;2015;56.471;3.388;62.405;51.906;4.6;57.7295;0.919162048;8.535;Cloudy;16;26;21
09/07/2015;7;2015;68.339;11.868;67.9265;63.553;11.647;62.787;0.929966783;8.118;Cloudy;16;28;22
10/07/2015;7;2015;67.514;-0.825;68.2335;62.021;-1.532;63.092;0.918639097;7.915;Cloudy;17;33;25
11/07/2015;7;2015;68.953;1.439;68.4555;64.163;2.142;62.552;0.930532392;8.111;Fine;18;30;24
12/07/2015;7;2015;67.958;-0.995;44.6825;60.941;-3.222;39.334;0.896745048;8.031;Cloudy;19;33;26
13/07/2015;7;2015;21.407;-46.551;43.0795;17.727;-43.214;38.281;0.828093614;7.869;Cloudy;22;26;24
14/07/2015;7;2015;64.752;43.345;57.754;58.835;41.108;52.2515;0.908620583;8.391;Cloudy;22;29;25.5
15/07/2015;7;2015;50.756;-13.996;52.88;45.668;-13.167;46.251;0.899755694;8.523;Cloudy;20;30;25
16/07/2015;7;2015;55.004;4.248;61.5255;46.834;1.166;54.985;0.851465348;8.529;Cloudy;23;31;27
17/07/2015;7;2015;68.047;13.043;65.8395;63.136;16.302;59.4765;0.927829294;8.014;Cloudy;21;31;26
18/07/2015;7;2015;63.632;-4.415;59.955;55.817;-7.319;52.4945;0.877184436;8.068;Cloudy;23;31;27
19/07/2015;7;2015;56.278;-7.354;57.927;49.172;-6.645;50.475;0.873733964;8.521;Cloudy;24;31;27.5
