Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;exp/gen;PP;Cond;Temp min;Temp max;Temp med
01/07/2015;7;2015;10.625;1.403;11.3265;8.951;-1.466;16.436;0.842447059;2.663;Cloudy;15;21;18
02/07/2015;7;2015;12.028;1.403;11.1665;7.485;-1.466;16.237;0.622297971;5.048;Cloudy;15;20;17.5
03/07/2015;7;2015;10.305;-1.723;6.6785;8.752;1.267;10.416;0.849296458;2.969;Cloudy;15;21;18
04/07/2015;7;2015;3.052;-7.253;12.3385;1.664;-7.088;18.364;0.545216252;2.537;Showers;17;21;19
05/07/2015;7;2015;21.625;18.573;17.727;16.7;15.036;23.388;0.772254335;4.131;Cloudy;14;18;16
06/07/2015;7;2015;13.829;-7.796;18.408;6.688;-10.012;26.279;0.483621375;4.684;Cloudy;14;18;16
07/07/2015;7;2015;22.987;9.158;22.6795;19.591;12.903;37.996;0.852264323;3.76;Cloudy;10;22;16
08/07/2015;7;2015;22.372;-0.615;21.5175;18.405;-1.186;33.491;0.822680136;3.638;Cloudy;12;23;17.5
09/07/2015;7;2015;20.663;-1.709;19.5045;15.086;-3.319;30.606;0.730097275;3.355;Cloudy;11;27;19
10/07/2015;7;2015;18.346;-2.317;18.663;15.52;0.434;27.754;0.845960972;4.132;Cloudy;15;25;20
11/07/2015;7;2015;18.98;0.634;14.831;12.234;-3.286;16.66;0.644573235;5.045;Cloudy;12;23;17.5
12/07/2015;7;2015;10.682;-8.298;11.7595;4.426;-7.808;10.491;0.414341884;2.711;Cloudy;13;21;17
13/07/2015;7;2015;12.837;2.155;14.4555;6.065;1.639;19.181;0.472462413;4.166;Cloudy;14;20;17
14/07/2015;7;2015;16.074;3.237;15.707;13.116;7.051;24.219;0.81597611;5.052;Cloudy;14;22;18
15/07/2015;7;2015;15.34;-0.734;14.869;11.103;-2.013;17.435;0.723794003;4.212;Cloudy;14;20;17
16/07/2015;7;2015;14.398;-0.942;14.5605;6.332;-4.771;16.809;0.439783303;4.817;Cloudy;13;22;17.5
17/07/2015;7;2015;14.723;0.325;12.695;10.477;4.145;19.061;0.711607689;4.273;Cloudy;11;22;16.5
18/07/2015;7;2015;10.667;-4.056;7.116;8.584;-1.893;8.91;0.804724852;2.787;Cloudy;14;22;18
19/07/2015;7;2015;3.565;-7.102;10.0105;0.326;-8.258;11.53;0.0914446;1.054;Showers;17;22;19.5
20/07/2015;7;2015;16.456;12.891;17.3415;11.204;10.878;24.447;0.680845892;4.92;Cloudy;16;19;17.5
21/07/2015;7;2015;18.227;1.771;15.2495;13.243;2.039;17.868;0.7265595;4.513;Cloudy;14;20;17
22/07/2015;7;2015;12.272;-5.955;9.2555;4.625;-8.618;6.613;0.376874185;3.696;Cloudy;13;21;17
23/07/2015;7;2015;6.239;-6.033;12.1785;1.988;-2.637;16.825;0.318640808;2.172;Cloudy;14;18;16
24/07/2015;7;2015;18.118;11.879;20.7355;14.837;12.849;35.331;0.818909372;4.571;Cloudy;15;22;18.5
25/07/2015;7;2015;23.353;5.235;18.297;20.494;5.657;26.473;0.877574616;3.819;Cloudy;7;18;12.5
26/07/2015;7;2015;13.241;-10.112;12.2865;5.979;-14.515;10.697;0.451551998;4.424;Cloudy;6;17;11.5
