Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;PP;Cond;Temp min;Temp max;Temp med
01/07/2015;7;2015;22.29;5.46;50.04;16.53;3.83;18.445;5.11;Cloudy;14;22;18
02/07/2015;7;2015;27.75;5.46;58.84;20.36;-4.03;18.345;5.12;Fine;12;21;16.5
03/07/2015;7;2015;31.09;3.34;59.8;16.33;5.51;19.085;4.83;Fine;8;20;14
04/07/2015;7;2015;28.71;-2.38;57.62;21.84;0.04;21.86;5.12;Fine;12;21;16.5
05/07/2015;7;2015;28.91;0.2;60.01;21.88;3.32;23.54;4.92;Fine;11;22;16.5
06/07/2015;7;2015;31.1;2.19;63.02;25.2;-0.72;24.84;4.77;Fine;12;22;17
07/07/2015;7;2015;31.92;0.82;59.75;24.48;-8.69;20.135;4.9;Fine;11;21;16
08/07/2015;7;2015;27.83;-4.09;49;15.79;-2.84;14.37;5.23;Fine;12;20;16
09/07/2015;7;2015;21.17;-6.66;42.9;12.95;2.85;14.375;5.12;Cloudy;12;20;16
10/07/2015;7;2015;21.73;0.56;43.87;15.8;-0.08;15.76;5.12;Cloudy;11;20;15.5
11/07/2015;7;2015;22.14;0.41;55.37;15.72;-5.2;13.12;5.12;Cloudy;12;21;16.5
12/07/2015;7;2015;33.23;11.09;64.85;10.52;-0.36;10.34;5.12;Fine;12;18;15
13/07/2015;7;2015;31.62;-1.61;64.36;10.16;2.16;11.24;5.09;Fine;9;17;13
14/07/2015;7;2015;32.74;1.12;51.93;12.32;-6.06;9.29;5.03;Fine;9;19;14
15/07/2015;7;2015;19.19;-13.55;39.93;6.26;3.68;8.1;4.23;Cloudy;6;17;11.5
16/07/2015;7;2015;20.74;1.55;54.26;9.94;-0.3;9.79;5.12;Cloudy;7;18;12.5
17/07/2015;7;2015;33.52;12.78;66.03;9.64;7.26;13.27;5.12;Fine;7;15;11
18/07/2015;7;2015;32.51;-1.01;58.03;16.9;-1.67;16.065;4.87;Fine;4;19;11.5
19/07/2015;7;2015;25.52;-6.99;52.09;15.23;4.42;17.44;5.11;Fine;10;20;15
20/07/2015;7;2015;26.57;1.05;48.88;19.65;-3.85;17.725;5.18;Fine;11;20;15.5
21/07/2015;7;2015;22.31;-4.26;33.67;15.8;-10.66;10.47;5.12;Cloudy;13;20;16.5
22/07/2015;7;2015;11.36;-10.95;22.29;5.14;-0.16;5.06;5.12;Cloudy;13;18;15.5
23/07/2015;7;2015;10.93;-0.43;28.45;4.98;5.67;7.815;5.06;Cloudy;15;20;17.5
24/07/2015;7;2015;17.52;6.59;35.66;10.65;1.53;11.415;5.21;Cloudy;14;23;18.5
25/07/2015;7;2015;18.14;0.62;35.43;12.18;-1.17;11.595;5.12;Cloudy;16;24;20
26/07/2015;7;2015;17.29;-0.85;47.32;11.01;11.39;16.705;5.02;Cloudy;13;23;18
27/07/2015;7;2015;30.03;12.74;62.9;22.4;2.19;23.495;5.12;Fine;15;21;18
28/07/2015;7;2015;32.87;2.84;66.05;24.59;-3.28;22.95;5.12;Fine;12;20;16
29/07/2015;7;2015;33.18;0.31;65.38;21.31;1.38;22;5.08;Fine;10;21;15.5
30/07/2015;7;2015;32.2;-0.98;65.6;22.69;2.52;23.95;4.84;Fine;12;21;16.5
31/07/2015;7;2015;33.4;1.2;66.04;25.21;-1.18;24.62;5.12;Fine;12;23;17.5
01/08/2015;8;2015;32.64;-0.76;65.88;24.03;3;25.53;4.9;Fine;11;23;17
02/08/2015;8;2015;33.24;0.6;66.24;27.03;-1.03;26.515;5.05;Fine;12;23;17.5
03/08/2015;8;2015;33;-0.24;55.23;26;-11.35;20.325;5.05;Fine;18;25;21.5
04/08/2015;8;2015;22.23;-10.77;57.5;14.65;11.23;20.265;5.12;Cloudy;15;21;18
05/08/2015;8;2015;35.27;13.04;69.88;25.88;-1.82;24.97;5.12;Fine;8;19;13.5
06/08/2015;8;2015;34.61;-0.66;68.41;24.06;0.21;24.165;5.11;Fine;8;18;13
07/08/2015;8;2015;33.8;-0.81;68.04;24.27;0.32;24.43;5.11;Fine;7;21;14
08/08/2015;8;2015;34.24;0.44;57.81;24.59;-10.02;19.58;5.12;Fine;9;21;15
09/08/2015;8;2015;23.57;-10.67;56.12;14.57;9.07;19.105;5.11;Cloudy;11;21;16
