Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;exp/gen;PP;Cond;Temp min;Temp max;Temp med
01/07/2015;7;2015;17.454;1.427;18.1675;5.093;0.41;5.298;0.291795577;3.72;Cloudy;9;23;16
02/07/2015;7;2015;18.881;1.427;19.6535;5.503;0.41;10.114;0.29145702;3.555;Cloudy;11;20;15.5
03/07/2015;7;2015;20.426;1.545;20.425;4.611;-0.892;10.624;0.225741702;3.24;Cloudy;5;20;12.5
04/07/2015;7;2015;20.424;-0.002;20.2075;6.013;1.402;10.446;0.294408539;3.186;Cloudy;7;21;14
05/07/2015;7;2015;19.991;-0.433;19.7485;4.433;-1.58;12.07;0.221749787;3.46;Cloudy;6;22;14
06/07/2015;7;2015;19.506;-0.485;20.115;7.637;3.204;14.615;0.391520558;3.12;Cloudy;6;24;15
07/07/2015;7;2015;20.724;1.218;18.8025;6.978;-0.659;11.548;0.33671106;3.288;Cloudy;7;22;14.5
08/07/2015;7;2015;16.881;-3.843;16.857;4.57;-2.408;9.348;0.270718559;4.26;Cloudy;5;20;12.5
09/07/2015;7;2015;16.833;-0.048;16.092;4.778;0.208;7.994;0.283847205;4.56;Cloudy;9;21;15
10/07/2015;7;2015;15.351;-1.482;15.1535;3.216;-1.562;7.072;0.209497753;4.29;Cloudy;5;20;12.5
11/07/2015;7;2015;14.956;-0.395;18.6685;3.856;0.64;11.469;0.257822947;3.618;Cloudy;9;21;15
12/07/2015;7;2015;22.381;7.425;22.0365;7.613;3.757;14.612;0.340154595;3.528;Cloudy;10;18;14
13/07/2015;7;2015;21.692;-0.689;21.8275;6.999;-0.614;14.638;0.322653513;3.756;Cloudy;6;17;11.5
14/07/2015;7;2015;21.963;0.271;19.049;7.639;0.64;11.45;0.34781223;3.435;Cloudy;8;19;13.5
15/07/2015;7;2015;16.135;-5.828;15.583;3.811;-3.828;6.288;0.236194608;2.934;Cloudy;2;17;9.5
16/07/2015;7;2015;15.031;-1.104;18.964;2.477;-1.334;9.79;0.164792762;4.008;Cloudy;4;17;10.5
17/07/2015;7;2015;22.897;7.866;22.5795;7.313;4.836;8.961;0.319386819;3.612;Cloudy;5;15;10
18/07/2015;7;2015;22.262;-0.635;19.177;1.648;-5.665;4.45;0.074027491;3.48;Cloudy;5;19;12
19/07/2015;7;2015;16.092;-6.17;16.919;2.802;1.154;8.324;0.174123788;3.72;Cloudy;4;19;11.5
20/07/2015;7;2015;17.746;1.654;16.3975;5.522;2.72;7.868;0.311168714;3.576;Cloudy;8;21;14.5
21/07/2015;7;2015;15.049;-2.697;13.996;2.346;-3.176;3.787;0.155890757;3.615;Cloudy;7;20;13.5
22/07/2015;7;2015;12.943;-2.106;13.143;1.441;-0.905;3.253;0.111334312;4.59;Cloudy;7;18;12.5
23/07/2015;7;2015;13.343;0.4;13.908;1.812;0.371;4.404;0.135801544;3.9;Cloudy;12;23;17.5
24/07/2015;7;2015;14.473;1.13;15.4705;2.592;0.78;5.539;0.179092103;2.925;Cloudy;13;24;18.5
25/07/2015;7;2015;16.468;1.995;16.312;2.947;0.355;5.695;0.178953121;3.816;Cloudy;15;24;19.5
26/07/2015;7;2015;16.156;-0.312;17.8525;2.748;-0.199;9.601;0.170091607;4.04;Cloudy;10;24;17
27/07/2015;7;2015;19.549;3.393;21.057;6.853;4.105;14.801;0.350555016;4.164;Cloudy;12;23;17.5
28/07/2015;7;2015;22.565;3.016;22.8185;7.948;1.095;16.235;0.3522269;3.45;Cloudy;8;20;14
29/07/2015;7;2015;23.072;0.507;22.1135;8.287;0.339;16.393;0.359179958;3.48;Cloudy;5;21;13
30/07/2015;7;2015;21.155;-1.917;22.144;8.106;-0.181;18.094;0.383171827;3.792;Cloudy;8;23;15.5
31/07/2015;7;2015;23.133;1.978;22.852;9.988;1.882;17.999;0.431764146;3.564;Cloudy;5;24;14.5
01/08/2015;8;2015;22.571;-0.562;23.072;8.011;-1.977;14.008;0.354924461;3.44;Cloudy;5;24;14.5
02/08/2015;8;2015;23.573;1.002;23.3445;5.997;-2.014;14.794;0.254401222;3.54;Cloudy;7;25;16
03/08/2015;8;2015;23.116;-0.457;20.3855;8.797;2.8;13.214;0.38055892;3.48;Cloudy;9;27;18
04/08/2015;8;2015;17.655;-5.461;21.799;4.417;-4.38;16.1;0.250184084;4.086;Cloudy;12;22;17
05/08/2015;8;2015;25.943;8.288;25.5395;11.683;7.266;21.504;0.450333423;3.9;Cloudy;6;19;12.5
06/08/2015;8;2015;25.136;-0.807;24.9735;9.821;-1.862;19.122;0.390714513;3.735;Cloudy;5;20;12.5
07/08/2015;8;2015;24.811;-0.325;24.873;9.301;-0.52;18.041;0.374874048;3.66;Cloudy;6;21;13.5
08/08/2015;8;2015;24.935;0.124;23.1765;8.74;-0.561;15.678;0.350511329;3.72;Cloudy;5;21;13
09/08/2015;8;2015;21.418;-3.517;22.936;6.938;-1.802;16.022;0.32393314;4.524;Cloudy;4;22;13
10/08/2015;8;2015;24.454;3.036;24.765;9.084;2.146;21.259;0.37147297;3.744;Cloudy;4;25;14.5
11/08/2015;8;2015;25.076;0.622;23.3;12.175;3.091;20.569;0.485524007;3.72;Cloudy;6;27;16.5
12/08/2015;8;2015;21.524;-3.552;24.1985;8.394;-3.781;20.607;0.389983274;4.02;Cloudy;9;29;19
13/08/2015;8;2015;26.873;5.349;26.4195;12.213;3.819;24.838;0.45447103;3.948;Cloudy;10;22;16
14/08/2015;8;2015;25.966;-0.907;23.3115;12.625;0.412;20.088;0.48621274;3.792;Cloudy;6;22;14
15/08/2015;8;2015;20.657;-5.309;18.413;7.463;-5.162;10.148;0.36128189;4.9;Cloudy;4;23;13.5
16/08/2015;8;2015;16.169;-4.488;19.947;2.685;-4.778;11.771;0.166058507;4.24;Cloudy;6;21;13.5
17/08/2015;8;2015;23.725;7.556;25.2025;9.086;6.401;21.422;0.382971549;3.76;Cloudy;7;24;15.5
18/08/2015;8;2015;26.68;2.955;22.5355;12.336;3.25;17.354;0.462368816;3.876;Cloudy;8;24;16
19/08/2015;8;2015;18.391;-8.289;17.0685;5.018;-7.318;7.682;0.272850851;4.59;Cloudy;7;23;15
20/08/2015;8;2015;15.746;-2.645;15.473;2.664;-2.354;7.193;0.169185825;4.35;Cloudy;6;23;14.5
21/08/2015;8;2015;15.2;-0.546;16.627;4.529;1.865;9.475;0.297960526;4.2;Cloudy;13;23;18
22/08/2015;8;2015;18.054;2.854;15.9885;4.946;0.417;6.971;0.27395591;4.125;Cloudy;16;25;20.5
23/08/2015;8;2015;13.923;-4.131;14.724;2.025;-2.921;5.679;0.145442793;2.88;Cloudy;14;24;19
24/08/2015;8;2015;15.525;1.602;18.8025;3.654;1.629;13.199;0.235362319;3.21;Cloudy;15;25;20
25/08/2015;8;2015;22.08;6.555;23.0775;9.545;5.891;21.944;0.432291667;4.62;Cloudy;15;29;22
26/08/2015;8;2015;24.075;1.995;17.9935;12.399;2.854;14.648;0.515015576;3.9;Cloudy;15;28;21.5
27/08/2015;8;2015;11.912;-12.163;18.729;2.249;-10.15;15.51;0.188801209;3.12;Cloudy;15;23;19
28/08/2015;8;2015;25.546;13.634;21.5445;13.261;11.012;18.73;0.519102795;4.524;Cloudy;13;24;18.5
29/08/2015;8;2015;17.543;-8.003;23.686;5.469;-7.792;20.343;0.311748276;4.056;Cloudy;9;23;16
30/08/2015;8;2015;29.829;12.286;29.636;14.874;9.405;30.501;0.498642261;4.215;Cloudy;13;23;18
31/08/2015;8;2015;29.443;-0.386;29.8915;15.627;0.753;30.41;0.530754339;4.152;Cloudy;10;24;17
01/09/2015;9;2015;30.34;0.897;28.322;14.783;-0.844;28.395;0.487244562;4.212;Cloudy;8;25;16.5
02/09/2015;9;2015;26.304;-4.036;26.503;13.612;-1.171;26.406;0.517487835;4.65;Cloudy;3;25;14
03/09/2015;9;2015;26.702;0.398;25.877;12.794;-0.818;23.984;0.479140139;4.836;Cloudy;15;25;20
04/09/2015;9;2015;25.052;-1.65;23.169;11.19;-1.604;19.513;0.446670924;4.14;Cloudy;9;25;17
05/09/2015;9;2015;21.286;-3.766;21.452;8.323;-2.867;16.249;0.391008174;4.815;Cloudy;8;24;16
06/09/2015;9;2015;21.618;0.332;22.9135;7.926;-0.397;16.476;0.366638912;4.71;Cloudy;10;24;17
07/09/2015;9;2015;24.209;2.591;26.12;8.55;0.624;21.973;0.353174439;5.004;Cloudy;12;25;18.5
08/09/2015;9;2015;28.031;3.822;29.6745;13.423;4.873;29.628;0.478862688;4.65;Cloudy;12;28;20
09/09/2015;9;2015;31.318;3.287;28.8885;16.205;2.782;29.048;0.517434063;4.296;Cloudy;6;25;15.5
10/09/2015;9;2015;26.459;-4.859;22.7245;12.843;-3.362;19.208;0.485392494;4.74;Cloudy;7;25;16
11/09/2015;9;2015;18.99;-7.469;21.75;6.365;-6.478;14.857;0.335176409;3.792;Cloudy;10;22;16
12/09/2015;9;2015;24.51;5.52;24.194;8.492;2.127;17.584;0.346470828;4.665;Cloudy;15;25;20
13/09/2015;9;2015;23.878;-0.632;23.5585;9.092;0.6;18.88;0.380768909;5.13;Cloudy;10;25;17.5
14/09/2015;9;2015;23.239;-0.639;25.4245;9.788;0.696;24.53;0.421188519;4.98;Cloudy;8;25;16.5
15/09/2015;9;2015;27.61;4.371;28.1325;14.742;4.954;29.993;0.533936979;4.68;Cloudy;10;26;18
16/09/2015;9;2015;28.655;1.045;18.6415;15.251;0.509;15.921;0.532228232;4.14;Cloudy;11;29;20
17/09/2015;9;2015;8.628;-20.027;16.1725;0.67;-14.581;11.36;0.077654149;2.196;Cloudy;15;19;17
18/09/2015;9;2015;23.717;15.089;26.536;10.69;10.02;23.63;0.450731543;4.764;Cloudy;10;23;16.5
19/09/2015;9;2015;29.355;5.638;25.0835;12.94;2.25;20.912;0.440810765;4.98;Cloudy;12;24;18
20/09/2015;9;2015;20.812;-8.543;24.4745;7.972;-4.968;21.4;0.383048241;5.052;Cloudy;10;23;16.5
21/09/2015;9;2015;28.137;7.325;28.404;13.428;5.456;28.133;0.477236379;5.22;Cloudy;12;25;18.5
22/09/2015;9;2015;28.671;0.534;25.2245;14.705;1.277;23.861;0.512887587;4.612;Cloudy;11;29;20
23/09/2015;9;2015;21.778;-6.893;27.125;9.156;-5.549;25.908;0.420424281;5.08;Cloudy;13;23;18
24/09/2015;9;2015;32.472;10.694;29.558;16.752;7.596;30.133;0.515890613;4.956;Fine;6;22;14
25/09/2015;9;2015;26.644;-5.828;24.7435;13.381;-3.371;23.325;0.502214382;5.01;Cloudy;8;23;15.5
26/09/2015;9;2015;22.843;-3.801;24.68;9.944;-3.437;20.676;0.435319354;5.18;Cloudy;12;23;17.5
27/09/2015;9;2015;26.517;3.674;29.8645;10.732;0.788;29.572;0.404721499;5.172;Cloudy;9;25;17
