Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;PP;Cond;Temp min;Temp max;Temp med
01/07/2015;7;2015;11.472;0.274;11.609;8.056;0.217;8.1645;2.272;Cloudy;5;15;10
02/07/2015;7;2015;11.746;0.274;12.708;8.273;1.76;9.153;2.322;Cloudy;5;11;8
03/07/2015;7;2015;13.67;1.924;13.0855;10.033;-0.742;9.662;2.091;Cloudy;-3;13;5
04/07/2015;7;2015;12.501;-1.169;11.772;9.291;-1.662;8.46;2.335;Cloudy;-2;15;6.5
05/07/2015;7;2015;11.043;-1.458;12.01;7.629;1.806;8.532;2.4;Cloudy;0;16;8
06/07/2015;7;2015;12.977;1.934;13.181;9.435;0.402;9.636;2.214;Cloudy;0;15;7.5
07/07/2015;7;2015;13.385;0.408;12.201;9.837;-1.997;8.8385;1.992;Cloudy;-2;15;6.5
08/07/2015;7;2015;11.017;-2.368;10.132;7.84;-1.8;6.94;2.467;Cloudy;-1;12;5.5
09/07/2015;7;2015;9.247;-1.77;8.722;6.04;-1.012;5.534;2.506;Cloudy;6;14;10
10/07/2015;7;2015;8.197;-1.05;5.5715;5.028;-4.69;2.683;2.002;Cloudy;4;16;10
11/07/2015;7;2015;2.946;-5.251;7.397;0.338;8.09;4.383;1.331;Showers;3;14;8.5
12/07/2015;7;2015;11.848;8.902;7.7485;8.428;-7.608;4.624;2.268;Cloudy;2;8;5
13/07/2015;7;2015;3.649;-8.199;6.7775;0.82;5.51;3.575;0.891;Cloudy;2;5;3.5
14/07/2015;7;2015;9.906;6.257;10.091;6.33;0.358;6.509;2.362;Cloudy;1;9;5
15/07/2015;7;2015;10.276;0.37;10.417;6.688;0.291;6.8335;1.87;Cloudy;0;11;5.5
16/07/2015;7;2015;10.558;0.282;6.88;6.979;-6.29;3.834;2.459;Cloudy;-2;11;4.5
17/07/2015;7;2015;3.202;-7.356;8.469;0.689;9.974;5.676;1.37;Cloudy;-2;4;1
18/07/2015;7;2015;13.736;10.534;11.6095;10.663;-4.981;8.1725;2.116;Cloudy;-2;13;5.5
19/07/2015;7;2015;9.483;-4.253;9.5905;5.682;0.554;5.959;2.535;Cloudy;-2;13;5.5
20/07/2015;7;2015;9.698;0.215;9.033;6.236;-2.379;5.0465;2.429;Cloudy;1;15;8
21/07/2015;7;2015;8.368;-1.33;8.1115;3.857;0.35;4.032;2.474;Cloudy;5;14;9.5
22/07/2015;7;2015;7.855;-0.513;6.2395;4.207;-2.994;2.71;2.092;Cloudy;7;13;10
23/07/2015;7;2015;4.624;-3.231;4.3085;1.213;-0.421;1.0025;1.48;Cloudy;10;15;12.5
24/07/2015;7;2015;3.993;-0.631;3.8395;0.792;-0.135;0.7245;1.039;Cloudy;9;17;13
25/07/2015;7;2015;3.686;-0.307;4.19;0.657;1.309;1.3115;1.714;Cloudy;8;14;11
26/07/2015;7;2015;4.694;1.008;9.2675;1.966;8.77;6.351;1.889;Cloudy;5;14;9.5
27/07/2015;7;2015;13.841;9.147;13.5585;10.736;-1.21;10.131;2.297;Cloudy;6;13;9.5
28/07/2015;7;2015;13.276;-0.565;13.811;9.526;0.873;9.9625;2.283;Cloudy;-3;15;6
29/07/2015;7;2015;14.346;1.07;13.1295;10.399;-2.58;9.109;2.069;Cloudy;-3;15;6
30/07/2015;7;2015;11.913;-2.433;12.912;7.819;2.085;8.8615;2.442;Cloudy;0;16;8
31/07/2015;7;2015;13.911;1.998;13.8655;9.904;0.226;10.017;2.083;Cloudy;0;17;8.5
01/08/2015;8;2015;13.82;-0.091;13.9835;10.13;-3.52;8.37;2.034;Cloudy;0;20;10
02/08/2015;8;2015;14.147;0.327;13.9365;6.61;2.786;8.003;2.217;Cloudy;1;20;10.5
03/08/2015;8;2015;13.726;-0.421;13.7525;9.396;-0.14;9.326;2.122;Cloudy;10;19;14.5
04/08/2015;8;2015;13.779;0.053;14.4765;9.256;1.762;10.137;2.518;Cloudy;-2;15;6.5
05/08/2015;8;2015;15.174;1.395;15.0445;11.018;-0.271;10.8825;2.31;Cloudy;0;9;4.5
06/08/2015;8;2015;14.915;-0.259;14.805;10.747;1.04;11.267;2.274;Cloudy;1;11;6
07/08/2015;8;2015;14.695;-0.22;14.644;11.787;-0.124;11.725;2.137;Cloudy;-4;14;5
08/08/2015;8;2015;14.593;-0.102;13.891;11.663;-1.363;10.9815;2.153;Cloudy;-3;15;6
09/08/2015;8;2015;13.189;-1.404;13.0385;10.3;-0.296;10.152;2.66;Cloudy;-1;15;7
10/08/2015;8;2015;12.888;-0.301;13.7915;10.004;1.773;10.8905;2.49;Cloudy;0;16;8
11/08/2015;8;2015;14.695;1.807;12.762;11.777;-3.825;9.8645;2.116;Cloudy;-2;19;8.5
12/08/2015;8;2015;10.829;-3.866;13.2595;7.952;3.754;9.829;2.328;Cloudy;3;18;10.5
13/08/2015;8;2015;15.69;4.861;15.4015;11.706;-0.26;11.576;2.315;Fine;2;13;7.5
14/08/2015;8;2015;15.113;-0.577;14.8695;11.446;0.262;11.577;2.212;Cloudy;-2;16;7
15/08/2015;8;2015;14.626;-0.487;12.0495;11.708;-5.02;9.198;2.173;Cloudy;-1;17;8
16/08/2015;8;2015;9.473;-5.153;11.178;6.688;2.622;7.999;2.378;Cloudy;1;17;9
17/08/2015;8;2015;12.883;3.41;13.836;9.31;1.982;10.301;2.462;Cloudy;2;16;9
18/08/2015;8;2015;14.789;1.906;13.601;11.292;-2.79;9.897;2.142;Cloudy;-2;16;7
19/08/2015;8;2015;12.413;-2.376;13.3865;8.502;2.167;9.5855;2.623;Cloudy;0;16;8
20/08/2015;8;2015;14.36;1.947;13.0495;10.669;-2.409;9.4645;2.577;Cloudy;6;16;11
21/08/2015;8;2015;11.739;-2.621;11.323;8.26;-1.039;7.7405;2.541;Cloudy;7;19;13
22/08/2015;8;2015;10.907;-0.832;10.9365;7.221;0.165;7.3035;2.522;Cloudy;8;21;14.5
23/08/2015;8;2015;10.966;0.059;8.184;7.386;-5.207;4.7825;2.426;Cloudy;8;21;14.5
24/08/2015;8;2015;5.402;-5.564;9.2975;2.179;7.474;5.916;2.57;Cloudy;10;20;15
25/08/2015;8;2015;13.193;7.791;14.277;9.653;1.648;10.477;2.266;Cloudy;12;19;15.5
26/08/2015;8;2015;15.361;2.168;9.329;11.301;-10.83;5.886;2.189;Fine;6;17;11.5
27/08/2015;8;2015;3.297;-12.064;9.7575;0.471;11.35;6.146;0.728;Cloudy;6;13;9.5
28/08/2015;8;2015;16.218;12.921;13.5135;11.821;-4.634;9.504;2.411;Fine;4;14;9
29/08/2015;8;2015;10.809;-5.409;13.415;7.187;4.809;9.5915;2.507;Cloudy;0;16;8
30/08/2015;8;2015;16.021;5.212;16.165;11.996;0.246;12.119;2.694;Fine;3;14;8.5
31/08/2015;8;2015;16.309;0.288;16.5165;12.242;0.673;12.5785;2.315;Fine;-1;15;7
