Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;exp/gen;PP;Cond;Temp min;Temp max;Temp med
01/07/2015;7;2015;29.6;1.1;30.15;27.553;-1.453;26.8265;0.930844595;4.924;Cloudy;17;28;22.5
02/07/2015;7;2015;30.7;1.1;28;26.1;-1.453;23.5695;0.850162866;4.996;Cloudy;16;28;22
03/07/2015;7;2015;25.3;-5.4;23.55;21.039;-5.061;17.03;0.831581028;5.007;Cloudy;16;28;22
04/07/2015;7;2015;21.8;-3.5;20.65;13.021;-8.018;13.616;0.597293578;5.003;Cloudy;17;27;22
05/07/2015;7;2015;19.5;-2.3;21.95;14.211;1.19;17.4435;0.728769231;4.9;Cloudy;16;27;21.5
06/07/2015;7;2015;24.4;4.9;20.5;20.676;6.465;15.126;0.847377049;5;Cloudy;18;28;23
07/07/2015;7;2015;16.6;-7.8;16.8;9.576;-11.1;10.9375;0.57686747;5;Cloudy;21;28;24.5
08/07/2015;7;2015;17;0.4;24.25;12.299;2.723;19.422;0.723470588;4.7;Cloudy;18;25;21.5
09/07/2015;7;2015;31.5;14.5;30.55;26.545;14.246;25.9085;0.842698413;4.8;Cloudy;9;26;17.5
10/07/2015;7;2015;29.6;-1.9;26.8;25.272;-1.273;21.931;0.853783784;4.5;Cloudy;12;27;19.5
11/07/2015;7;2015;24;-5.6;26.7;18.59;-6.682;20.3195;0.774583333;4.9;Cloudy;14;26;20
12/07/2015;7;2015;29.4;5.4;29.25;22.049;3.459;23.2355;0.749965986;4.5;Cloudy;13;27;20
13/07/2015;7;2015;29.1;-0.3;28;24.422;2.373;22.414;0.839243986;4.4;Cloudy;13;28;20.5
14/07/2015;7;2015;26.9;-2.2;27.35;20.406;-4.016;21.8645;0.758587361;4.9;Cloudy;14;28;21
15/07/2015;7;2015;27.8;0.9;23.25;23.323;2.917;17.5955;0.838956835;4.5;Cloudy;14;27;20.5
16/07/2015;7;2015;18.7;-9.1;24;11.868;-11.455;18.778;0.634652406;5;Cloudy;15;27;21
17/07/2015;7;2015;29.3;10.6;26.9;25.688;13.82;22.3555;0.876723549;4.5;Cloudy;13;29;21
18/07/2015;7;2015;24.5;-4.8;20.35;19.023;-6.665;15.3055;0.77644898;4.9;Cloudy;14;26;20
19/07/2015;7;2015;16.2;-8.3;21.7;11.588;-7.435;17.706;0.715308642;4.9;Cloudy;17;26;21.5
20/07/2015;7;2015;27.2;11;27.7;23.824;12.236;23.615;0.875882353;4.4;Cloudy;14;28;21
21/07/2015;7;2015;28.2;1;28.8;23.406;-0.418;24.455;0.83;4.4;Cloudy;15;27;21
22/07/2015;7;2015;29.4;1.2;28.65;25.504;2.098;24.7515;0.867482993;4.5;Cloudy;11;25;18
23/07/2015;7;2015;27.9;-1.5;26.8;23.999;-1.505;22.3525;0.860179211;4.4;Cloudy;9;28;18.5
24/07/2015;7;2015;25.7;-2.2;27.7;20.706;-3.293;21.22;0.805680934;4.9;Cloudy;18;25;21.5
25/07/2015;7;2015;29.7;4;28.95;21.734;1.028;21.7125;0.731784512;4.6;Cloudy;11;23;17
26/07/2015;7;2015;28.2;-1.5;27.5;21.691;-0.043;22.075;0.769184397;4.9;Cloudy;11;23;17
27/07/2015;7;2015;26.8;-1.4;22.15;22.459;0.768;17.7685;0.838022388;4.9;Cloudy;9;23;16
28/07/2015;7;2015;17.5;-9.3;14.2;13.078;-9.381;9.5865;0.747314286;4.9;Cloudy;11;24;17.5
29/07/2015;7;2015;10.9;-6.6;12.25;6.095;-6.983;5.928;0.559174312;3.3;Cloudy;15;22;18.5
30/07/2015;7;2015;13.6;2.7;12.5;5.761;-0.334;6.1285;0.423602941;5;Cloudy;15;20;17.5
31/07/2015;7;2015;11.4;-2.2;7;6.496;0.735;3.2825;0.569824561;3.5;Cloudy;15;21;18
01/08/2015;8;2015;2.6;-8.8;13.8;0.069;-6.427;9.8565;0.026538462;1.4;Showers;17;21;19
02/08/2015;8;2015;25;22.4;19.8;19.644;19.575;12.767;0.78576;4.9;Cloudy;14;19;16.5
03/08/2015;8;2015;14.6;-10.4;22;5.89;-13.754;14.5475;0.403424658;4.9;Cloudy;14;18;16
