Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;PP;Cond;Temp min;Temp max;Temp med;exp/gen
01/07/2015;7;2015;17.146;1.705;17.9985;10.858;0.945;11.3305;3.508;Fine;12;23;17.5;0.633267234
02/07/2015;7;2015;18.851;1.705;19.408;11.803;1.765;12.6855;3.783;Fine;12;19;15.5;0.62612063
03/07/2015;7;2015;19.965;1.114;19.742;13.568;-2.423;12.3565;3.221;Fine;7;20;13.5;0.679589281
04/07/2015;7;2015;19.519;-0.446;19.36;11.145;-0.006;11.142;3.29;Fine;9;21;15;0.57098212
05/07/2015;7;2015;19.201;-0.318;19.117;11.139;1.899;12.0885;3.239;Fine;9;22;15.5;0.580126035
06/07/2015;7;2015;19.033;-0.168;19.836;13.038;-0.765;12.6555;3.232;Fine;9;24;16.5;0.685020753
07/07/2015;7;2015;20.639;1.606;18.537;12.273;-3.006;10.77;3.255;Fine;10;23;16.5;0.594650904
08/07/2015;7;2015;16.435;-4.204;15.5985;9.267;-1.175;8.6795;3.766;Fine;7;20;13.5;0.563857621
09/07/2015;7;2015;14.762;-1.673;13.234;8.092;-2.922;6.631;3.83;Cloudy;11;19;15;0.548164205
10/07/2015;7;2015;11.706;-3.056;12.2445;5.17;0.273;5.3065;3.173;Cloudy;9;20;14.5;0.441653853
11/07/2015;7;2015;12.783;1.077;17.449;5.443;7.742;9.314;3.566;Cloudy;11;21;16;0.42579989
12/07/2015;7;2015;22.115;9.332;21.446;13.185;0.714;13.542;3.48;Fine;12;18;15;0.596201673
13/07/2015;7;2015;20.777;-1.338;21.2065;13.899;1.857;14.8275;3.692;Fine;8;18;13;0.66896087
14/07/2015;7;2015;21.636;0.859;17.695;15.756;-9.408;11.052;3.411;Fine;10;19;14.5;0.728230727
15/07/2015;7;2015;13.754;-7.882;13.099;6.348;-1.492;5.602;2.993;Cloudy;5;18;11.5;0.461538462
16/07/2015;7;2015;12.444;-1.31;17.3655;4.856;9.551;9.6315;3.174;Cloudy;7;17;12;0.390228222
17/07/2015;7;2015;22.287;9.843;22.163;14.407;0.54;14.677;3.79;Fine;6;16;11;0.646430655
18/07/2015;7;2015;22.039;-0.248;19.001;14.947;-4.436;12.729;3.424;Fine;6;19;12.5;0.678206815
19/07/2015;7;2015;15.963;-6.076;15.6385;10.511;0.129;10.5755;3.768;Fine;8;19;13.5;0.658460189
20/07/2015;7;2015;15.314;-0.649;15.2395;10.64;-0.202;10.539;3.663;Cloudy;11;20;15.5;0.694789082
