Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;PP;Cond;Temp min;Temp max;Temp med;exp/gen
01/07/2015;7;2015;19.41;-1.07;18.875;17;-1;16.5;3.624;Cloudy;20;26;23;0.875837197
02/07/2015;7;2015;18.34;-1.07;17.3525;16;-4;14;3.9;Cloudy;18;27;22.5;0.872410033
03/07/2015;7;2015;16.365;-1.975;16.7685;12;2;13;3.876;Cloudy;16;26;21;0.733272227
04/07/2015;7;2015;17.172;0.807;14.7075;14;-5;11.5;3.516;Cloudy;16;25;20.5;0.815280689
05/07/2015;7;2015;12.243;-4.929;14.967;9;4;11;3.72;Cloudy;18;26;22;0.735113943
06/07/2015;7;2015;17.691;5.448;18.1015;13;0;13;3.792;Cloudy;20;26;23;0.734836923
07/07/2015;7;2015;18.512;0.821;19.9745;13;-1;12.5;3.792;Cloudy;18;27;22.5;0.702247191
08/07/2015;7;2015;21.437;2.925;16.5475;12;-1;11.5;3.696;Fine;20;27;23.5;0.55977982
09/07/2015;7;2015;11.658;-9.779;9.605;11;-4;9;3.552;Cloudy;20;26;23;0.943558072
10/07/2015;7;2015;7.552;-4.106;12.0445;7;6;10;1.68;Cloudy;19;24;21.5;0.92690678
11/07/2015;7;2015;16.537;8.985;19.266;13;6;16;3.96;Cloudy;19;27;23;0.786115982
12/07/2015;7;2015;21.995;5.458;22.839;19;2;20;3.792;Fine;16;26;21;0.863832689
13/07/2015;7;2015;23.683;1.688;23.637;21;0;21;3.456;Fine;14;23;18.5;0.886711988
14/07/2015;7;2015;23.591;-0.092;23.0075;21;-1;20.5;3.696;Fine;11;22;16.5;0.89016998
15/07/2015;7;2015;22.424;-1.167;23.076;20;1;20.5;3.948;Fine;9;24;16.5;0.891901534
16/07/2015;7;2015;23.728;1.304;23.812;21;0;21;3.696;Fine;11;24;17.5;0.885030344
17/07/2015;7;2015;23.896;0.168;24.1435;21;1;21.5;3.528;Fine;14;23;18.5;0.878808169
18/07/2015;7;2015;24.391;0.495;21.094;22;-7;18.5;3.624;Fine;10;23;16.5;0.901972039
19/07/2015;7;2015;17.797;-6.594;14.5205;15;-8;11;3.624;Cloudy;14;24;19;0.842838681
20/07/2015;7;2015;11.244;-6.553;10.7205;7;0;7;3.324;Showers;18;24;21;0.622554251
21/07/2015;7;2015;10.197;-1.047;11.4925;7;2;8;2.34;Cloudy;18;26;22;0.686476415
22/07/2015;7;2015;12.788;2.591;10.6855;9;-3;7.5;3.312;Cloudy;20;26;23;0.703784798
23/07/2015;7;2015;8.583;-4.205;14.1375;6;10;11;3.288;Showers;21;27;24;0.699056274
24/07/2015;7;2015;19.692;11.109;18.106;16;-3;14.5;3.732;Cloudy;21;28;24.5;0.812512696
25/07/2015;7;2015;16.52;-3.172;15.761;13;-2;12;3.768;Cloudy;18;28;23;0.786924939
26/07/2015;7;2015;15.002;-1.518;18.3505;11;7;14.5;3.504;Cloudy;20;28;24;0.733235569
27/07/2015;7;2015;21.699;6.697;18.5925;18;-7;14.5;3.9;Fine;19;28;23.5;0.829531315
28/07/2015;7;2015;15.486;-6.213;13.825;11;-2;10;3.792;Cloudy;20;27;23.5;0.710318998
29/07/2015;7;2015;12.164;-3.322;15.4405;9;6;12;3.684;Cloudy;20;26;23;0.739888195
30/07/2015;7;2015;18.717;6.553;17.54;15;-2;14;3.672;Cloudy;19;26;22.5;0.801410482
31/07/2015;7;2015;16.363;-2.354;20.0555;13;7;16.5;3.78;Cloudy;18;26;22;0.794475341
01/08/2015;8;2015;23.748;7.385;21.4575;20;-4;18;3.996;Fine;19;26;22.5;0.842176183
02/08/2015;8;2015;19.167;-4.581;21.8945;16;5;18.5;3.828;Cloudy;20;27;23.5;0.834768091
03/08/2015;8;2015;24.622;5.455;24.6805;21;0;21;3.696;Fine;17;27;22;0.852895784
04/08/2015;8;2015;24.739;0.117;23.3765;21;-4;19;3.528;Fine;14;28;21;0.848862121
05/08/2015;8;2015;22.014;-2.725;23.878;17;5;19.5;3.996;Fine;15;26;20.5;0.77223585
06/08/2015;8;2015;25.742;3.728;25.6555;22;-2;21;3.672;Fine;15;25;20;0.85463445
07/08/2015;8;2015;25.569;-0.173;22.563;20;-5;17.5;3.756;Fine;9;25;17;0.782197192
08/08/2015;8;2015;19.557;-6.012;21.869;15;5;17.5;3.864;Cloudy;12;25;18.5;0.766988802
09/08/2015;8;2015;24.181;4.624;22.2275;20;-4;18;3.852;Fine;11;26;18.5;0.827095654
10/08/2015;8;2015;20.274;-3.907;22.3385;16;5;18.5;4.008;Cloudy;13;26;19.5;0.789188123
11/08/2015;8;2015;24.403;4.129;24.419;21;0;21;4.008;Fine;13;26;19.5;0.860549932
12/08/2015;8;2015;24.435;0.032;24.9475;21;1;21.5;3.864;Fine;14;26;20;0.859422959
13/08/2015;8;2015;25.46;1.025;25.4485;22;-1;21.5;3.612;Fine;16;26;21;0.86410055
14/08/2015;8;2015;25.437;-0.023;25.5805;21;1;21.5;3.864;Fine;13;26;19.5;0.825569053
15/08/2015;8;2015;25.724;0.287;20.4865;22;-10;17;3.768;Fine;14;26;20;0.855232468
16/08/2015;8;2015;15.249;-10.475;17.4015;12;3;13.5;3.876;Cloudy;18;26;22;0.786936848
17/08/2015;8;2015;19.554;4.305;20.4595;15;3;16.5;4.008;Cloudy;16;27;21.5;0.767106474
18/08/2015;8;2015;21.365;1.811;18.6145;18;-6;15;4.008;Cloudy;15;26;20.5;0.842499415
19/08/2015;8;2015;15.864;-5.501;19.9075;12;8;16;3.648;Cloudy;15;28;21.5;0.756429652
20/08/2015;8;2015;23.951;8.087;19.1995;20;-10;15;3.84;Fine;16;27;21.5;0.835038203
21/08/2015;8;2015;14.448;-9.503;15.1355;10;2;11;3.54;Cloudy;16;27;21.5;0.69213732
22/08/2015;8;2015;15.823;1.375;12.5475;12;-6;9;3.36;Cloudy;17;28;22.5;0.758389686
23/08/2015;8;2015;9.272;-6.551;10.323;6;1;6.5;2.928;Showers;21;26;23.5;0.647109577
24/08/2015;8;2015;11.374;2.102;12.1365;7;3;8.5;3.384;Showers;21;29;25;0.61543872
25/08/2015;8;2015;12.899;1.525;17.2555;10;7;13.5;3.132;Cloudy;21;28;24.5;0.775253896
26/08/2015;8;2015;21.612;8.713;21.15;17;0;17;3.972;Fine;19;28;23.5;0.786600037
27/08/2015;8;2015;20.688;-0.924;21.88;17;2;18;3.996;Cloudy;18;28;23;0.821732405
28/08/2015;8;2015;23.072;2.384;22.379;19;0;19;3.996;Fine;20;28;24;0.823509015
29/08/2015;8;2015;21.686;-1.386;22.7375;19;0;19;3.924;Fine;18;28;23;0.876141289
30/08/2015;8;2015;23.789;2.103;24.525;19;3;20.5;3.96;Fine;16;28;22;0.798688469
31/08/2015;8;2015;25.261;1.472;24.304;22;-3;20.5;3.744;Fine;19;27;23;0.870907723
01/09/2015;9;2015;23.347;-1.914;23.1275;19;-1;18.5;4.008;Fine;20;28;24;0.813809055
02/09/2015;9;2015;22.908;-0.439;24.4845;18;4;20;3.996;Cloudy;19;27;23;0.785751702
03/09/2015;9;2015;26.061;3.153;26.504;22;1;22.5;3.78;Fine;18;28;23;0.844173286
04/09/2015;9;2015;26.947;0.886;26.937;23;0;23;3.732;Fine;16;29;22.5;0.853527294
05/09/2015;9;2015;26.927;-0.02;19.6835;23;-14;16;3.984;Fine;14;28;21;0.854161251
06/09/2015;9;2015;12.44;-14.487;19.3;9;13;15.5;3.792;Cloudy;17;27;22;0.723472669
07/09/2015;9;2015;26.16;13.72;26.52;22;1;22.5;3.816;Fine;19;29;24;0.840978593
08/09/2015;9;2015;26.88;0.72;25.1165;23;-4;21;3.948;Fine;18;29;23.5;0.855654762
09/09/2015;9;2015;23.353;-3.527;19.8615;19;-7;15.5;3.984;Cloudy;17;29;23;0.813599966
10/09/2015;9;2015;16.37;-6.983;17.121;12;2;13;3.792;Cloudy;20;27;23.5;0.733048259
11/09/2015;9;2015;17.872;1.502;18.1885;14;1;14.5;4.008;Cloudy;20;28;24;0.783348254
12/09/2015;9;2015;18.505;0.633;21.232;15;5;17.5;3.996;Cloudy;19;28;23.5;0.810591732
13/09/2015;9;2015;23.959;5.454;19.923;20;-9;15.5;4.008;Fine;19;29;24;0.834759381
14/09/2015;9;2015;15.887;-8.072;18.874;11;7;14.5;3.684;Showers;20;28;24;0.692390004
15/09/2015;9;2015;21.861;5.974;22.675;18;2;19;3.996;Cloudy;19;29;24;0.823384109
16/09/2015;9;2015;23.489;1.628;25.711;20;3;21.5;3.996;Cloudy;18;28;23;0.851462387
17/09/2015;9;2015;27.933;4.444;27.847;23;1;23.5;3.996;Fine;17;28;22.5;0.823398847
18/09/2015;9;2015;27.761;-0.172;26.4205;24;-4;22;3.828;Fine;16;29;22.5;0.864522171
19/09/2015;9;2015;25.08;-2.681;22.6665;20;-4;18;4.008;Fine;14;28;21;0.797448166
20/09/2015;9;2015;20.253;-4.827;19.1205;16;-2;15;4.008;Cloudy;19;28;23.5;0.790006419
21/09/2015;9;2015;17.988;-2.265;23.1205;14;10;19;3.996;Cloudy;18;29;23.5;0.778296642
22/09/2015;9;2015;28.253;10.265;28.131;24;1;24.5;3.864;Fine;21;30;25.5;0.849467313
23/09/2015;9;2015;28.009;-0.244;24.8225;25;-7;21.5;4.008;Fine;14;29;21.5;0.892570245
24/09/2015;9;2015;21.636;-6.373;21.7025;18;-1;17.5;4.008;Cloudy;15;29;22;0.831946755
25/09/2015;9;2015;21.769;0.133;20.2395;17;0;17;3.948;Cloudy;21;29;25;0.780927006
26/09/2015;9;2015;18.71;-3.059;18.595;17;-5;14.5;3.936;Cloudy;21;28;24.5;0.908605024
27/09/2015;9;2015;18.48;-0.23;22.432;12;10;17;3.936;Cloudy;20;29;24.5;0.649350649
28/09/2015;9;2015;26.384;7.904;22.926;22;-7;18.5;4.008;Fine;18;28;23;0.83383869
29/09/2015;9;2015;19.468;-6.916;20.698;15;2;16;3.996;Cloudy;20;29;24.5;0.770495172
30/09/2015;9;2015;21.928;2.46;24.901;17;7;20.5;3.996;Cloudy;17;29;23;0.775264502
01/10/2015;10;2015;27.874;5.946;27.757;24;-2;23;3.948;Fine;18;30;24;0.861017436
02/10/2015;10;2015;27.64;-0.234;21.7605;22;-10;17;3.996;Fine;20;29;24.5;0.795947902
03/10/2015;10;2015;15.881;-11.759;20.51;12;7;15.5;3.924;Cloudy;20;28;24;0.755619923
04/10/2015;10;2015;25.139;9.258;20.679;19;-7;15.5;4.02;Fine;19;28;23.5;0.755797764
05/10/2015;10;2015;16.219;-8.92;17.657;12;3;13.5;3.66;Cloudy;20;29;24.5;0.739872988
06/10/2015;10;2015;19.095;2.876;17.4785;15;-4;13;4.008;Cloudy;20;29;24.5;0.785545954
07/10/2015;10;2015;15.862;-3.233;22.8345;11;14;18;3.432;Cloudy;20;27;23.5;0.693481276
