Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;PP;Cond;Temp min;Temp max;Temp med;exp/gen
01/07/2015;7;2015;9.676;0.677;10.0145;8;1;8.5;1.992;Fine;12;23;17.5;0.826787929
02/07/2015;7;2015;10.353;0.677;10.8695;9;1;9.5;1.92;Fine;12;20;16;0.869313243
03/07/2015;7;2015;11.386;1.033;10.0335;10;-2;9;1.836;Fine;13;21;17;0.878271562
04/07/2015;7;2015;8.681;-2.705;9.6995;8;2;9;1.956;Fine;11;21;16;0.921552816
05/07/2015;7;2015;10.718;2.037;10.8345;10;0;10;2.124;Fine;14;23;18.5;0.93300989
06/07/2015;7;2015;10.951;0.233;11.163;10;-1;9.5;1.788;Fine;9;24;16.5;0.913158616
07/07/2015;7;2015;11.375;0.424;10.264;9;-2;8;1.824;Fine;10;23;16.5;0.791208791
08/07/2015;7;2015;9.153;-2.222;7.7515;7;-2;6;2.172;Fine;7;20;13.5;0.764776576
09/07/2015;7;2015;6.35;-2.803;7.085;5;1;5.5;1.824;Cloudy;12;19;15.5;0.787401575
10/07/2015;7;2015;7.82;1.47;7.5875;6;-1;5.5;2.04;Fine;10;20;15;0.767263427
11/07/2015;7;2015;7.355;-0.465;9.627;5;4;7;2.352;Cloudy;11;21;16;0.679809653
12/07/2015;7;2015;11.899;4.544;11.6605;9;2;10;1.896;Fine;12;18;15;0.756366081
13/07/2015;7;2015;11.422;-0.477;11.6015;11;0;11;1.908;Fine;8;18;13;0.963053756
14/07/2015;7;2015;11.781;0.359;9.652;11;-5;8.5;1.86;Fine;10;19;14.5;0.933706816
15/07/2015;7;2015;7.523;-4.258;7.421;6;1;6.5;1.728;Fine;5;18;11.5;0.797554167
16/07/2015;7;2015;7.319;-0.204;9.8135;7;4;9;1.98;Fine;8;17;12.5;0.956414811
17/07/2015;7;2015;12.308;4.989;12.15;11;-1;10.5;1.968;Fine;7;16;11.5;0.893727657
18/07/2015;7;2015;11.992;-0.316;10.1165;10;-5;7.5;1.908;Fine;7;19;13;0.83388926
19/07/2015;7;2015;8.241;-3.751;8.406;5;2;6;1.86;Fine;8;19;13.5;0.606722485
20/07/2015;7;2015;8.571;0.33;8.901;7;1;7.5;2.244;Fine;12;21;16.5;0.816707502
21/07/2015;7;2015;9.231;0.66;6.936;8;-4;6;2.196;Fine;11;22;16.5;0.866645001
22/07/2015;7;2015;4.641;-4.59;5.511;4;1;4.5;1.764;Cloudy;10;19;14.5;0.861883215
23/07/2015;7;2015;6.381;1.74;7.1305;5;2;6;2.004;Cloudy;14;23;18.5;0.783576242
24/07/2015;7;2015;7.88;1.499;6.7135;7;-2;6;2.052;Fine;14;24;19;0.888324873
25/07/2015;7;2015;5.547;-2.333;6.862;5;1;5.5;1.824;Cloudy;16;24;20;0.901388138
26/07/2015;7;2015;8.177;2.63;9.205;6;4;8;1.932;Fine;13;25;19;0.73376544
