Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;PP;Cond;Temp min;Temp min;Temp med;exp/gen
01/07/2015;7;2015;21.734;1.997;22.7325;15.83;1.067;16.3635;4.816;Fine;12;23;17.5;0.728351891
02/07/2015;7;2015;23.731;1.997;25.846;16.897;3.202;18.498;4.439;Fine;12;19;15.5;0.712022249
03/07/2015;7;2015;27.961;4.23;22.9995;20.099;-10.756;14.721;4.169;Fine;7;20;13.5;0.718822646
04/07/2015;7;2015;18.038;-9.923;20.377;9.343;3.159;10.9225;4.699;Fine;9;21;15;0.51796208
05/07/2015;7;2015;22.716;4.678;25.012;12.502;8.088;16.546;5.043;Fine;9;22;15.5;0.550360979
06/07/2015;7;2015;27.308;4.592;27.64;20.59;1.584;21.382;4.039;Fine;9;24;16.5;0.753991504
07/07/2015;7;2015;27.972;0.664;24.6485;22.174;-6.114;19.117;4.117;Fine;10;23;16.5;0.792721293
08/07/2015;7;2015;21.325;-6.647;17.7035;16.06;-7.952;12.084;5.039;Fine;7;20;13.5;0.753106682
09/07/2015;7;2015;14.082;-7.243;15.3355;8.108;2.886;9.551;4.281;Cloudy;11;19;15;0.575770487
10/07/2015;7;2015;16.589;2.507;16.935;10.994;-1.562;10.213;5.028;Cloudy;9;20;14.5;0.662728314
11/07/2015;7;2015;17.281;0.692;23.368;9.432;2.728;10.796;5.043;Cloudy;11;21;16;0.545801748
12/07/2015;7;2015;29.455;12.174;28.704;12.16;9.91;17.115;4.408;Fine;12;18;15;0.412833135
13/07/2015;7;2015;27.953;-1.502;28.545;22.07;-1.457;21.3415;4.785;Fine;8;18;13;0.789539584
14/07/2015;7;2015;29.137;1.184;23.0575;20.613;-8.688;16.269;4.295;Fine;10;19;14.5;0.707451007
15/07/2015;7;2015;16.978;-12.159;17.2445;11.925;-0.535;11.6575;4.467;Cloudy;5;18;11.5;0.70237955
16/07/2015;7;2015;17.511;0.533;23.8905;11.39;12.841;17.8105;4.747;Cloudy;7;17;12;0.65044829
17/07/2015;7;2015;30.27;12.759;29.541;24.231;-10.558;18.952;4.511;Fine;10;16;13;0.80049554
18/07/2015;7;2015;28.812;-1.458;23.187;13.673;-5.136;11.105;4.215;Fine;6;19;12.5;0.474559211
19/07/2015;7;2015;17.562;-11.25;18.9225;8.537;4.752;10.913;4.705;Cloudy;8;19;13.5;0.486106366
20/07/2015;7;2015;20.283;2.721;19.3955;13.289;-0.86;12.859;5.028;Fine;11;20;15.5;0.655179214
21/07/2015;7;2015;18.508;-1.775;15.017;12.429;-6.403;9.2275;5.024;Fine;10;21;15.5;0.671547439
22/07/2015;7;2015;11.526;-6.982;14.395;6.026;3.181;7.6165;5.051;Cloudy;10;18;14;0.522817977
23/07/2015;7;2015;17.264;5.738;17.7965;9.207;1.676;10.045;5.018;Cloudy;14;23;18.5;0.533306302
24/07/2015;7;2015;18.329;1.065;15.413;10.883;-3.57;9.098;4.517;Fine;14;24;19;0.593758525
25/07/2015;7;2015;12.497;-5.832;15.5655;7.313;3.021;8.8235;4.436;Cloudy;16;24;20;0.585180443
26/07/2015;7;2015;18.634;6.137;21.163;10.334;6.264;13.466;4.492;Fine;13;25;19;0.554577654
27/07/2015;7;2015;23.692;5.058;24.4825;16.598;2.474;17.835;5.043;Fine;13;22;17.5;0.700574033
28/07/2015;7;2015;25.273;1.581;27.1025;19.072;0.4;19.272;4.613;Fine;10;21;15.5;0.754639338
29/07/2015;7;2015;28.932;3.659;28.4235;19.472;1.967;20.4555;4.265;Fine;7;21;14;0.673026407
30/07/2015;7;2015;27.915;-1.017;28.3665;21.439;0.445;21.6615;4.787;Fine;10;22;16;0.76801003
31/07/2015;7;2015;28.818;0.903;28.685;21.884;-1.88;20.944;4.41;Fine;9;24;16.5;0.759386495
01/08/2015;8;2015;28.552;-0.266;28.6925;20.004;-3.261;18.3735;4.165;Fine;9;23;16;0.700616419
